15,"SELECT p.run, p.rerun, p.camcol, p.field, p.obj, p.type, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.Err_u, p.Err_g, p.Err_r, p.Err_i, p.Err_z FROM fGetNearbyObjEq (#, #, #) n, PhotoPrimary p WHERE n.objID = p.objID"
2019-01-26 09:31:00,2
2019-01-26 09:47:00,1
2019-01-26 09:52:00,1
2019-02-23 20:35:00,1
2019-03-03 09:19:00,1
2019-03-03 09:30:00,1
2019-03-03 10:50:00,1
2019-03-03 11:13:00,1
2019-03-03 11:54:00,1
2019-03-03 12:23:00,1
2019-04-28 18:45:00,1
2019-05-04 17:22:00,1
2019-05-04 20:06:00,1
2019-05-04 23:47:00,1
