44,"SELECT TOP # specObjID, z FROM SpecObj WHERE class = # AND zWarning = # AND survey = #"
2019-01-31 20:19:00,2
2019-02-24 19:17:00,1
2019-03-02 12:41:00,1
2019-03-02 12:42:00,1
2019-03-04 17:47:00,1
2019-03-04 19:00:00,1
2019-03-04 19:15:00,1
2019-03-05 12:01:00,1
2019-03-05 12:30:00,1
2019-03-06 17:07:00,1
2019-03-07 12:18:00,1
2019-03-09 09:35:00,1
2019-03-09 09:37:00,1
2019-03-09 11:29:00,3
2019-03-09 11:36:00,1
2019-03-09 11:39:00,1
2019-03-12 15:01:00,1
2019-03-16 19:12:00,1
2019-03-17 01:35:00,1
2019-03-17 09:33:00,1
2019-03-17 10:09:00,1
2019-03-18 10:00:00,1
2019-03-18 10:01:00,1
2019-03-18 10:48:00,1
2019-03-18 10:55:00,1
2019-03-18 11:03:00,2
2019-03-18 11:21:00,1
2019-03-18 12:21:00,2
2019-03-20 14:20:00,1
2019-03-20 14:21:00,2
2019-03-20 14:44:00,1
2019-03-21 10:54:00,1
2019-03-21 10:55:00,1
2019-03-21 10:56:00,3
2019-03-21 11:01:00,2
