8399,"select G.objID, G.ra as ra2, G.dec as dec2, G.petroMag_u, G.petroMag_g, G.petroMag_r, G.petroMag_i, G.petroMag_z, G.petroR5#_u, G.petroR5#_g, G.petroR5#_r, G.petroR5#_i, G.petroR5#_z, G.petroR9#_u, G.petroR9#_g, G.petroR9#_r, G.petroR9#_i, G.petroR9#_z, G.petroMagErr_u, G.petroMagErr_g, G.petroMagErr_r, G.petroMagErr_i, G.petroMagErr_z, G.deVPhi_u, G.deVPhi_g, G.deVPhi_r, G.deVPhi_i, G.deVPhi_z, G.expPhi_u, G.expPhi_g, G.expPhi_r, G.expPhi_i, G.expPhi_z, G.deVAB_u, G.deVAB_g, G.deVAB_r, G.deVAB_i, G.deVAB_z, G.expAB_u, G.expAB_g, G.expAB_r, G.expAB_i, G.expAB_z, G.fracDeV_u, G.fracDeV_g, G.fracDeV_r, G.fracDeV_i, G.fracDeV_z, ph.z as z2 from Galaxy as G, dbo.fGetNearestObjEq (#, #, #/#.) as N, photoz as ph where G.objID = N.objID and ph.objID = N.objID"
2019-08-15 18:01:00,24
2019-08-15 18:02:00,28
2019-08-15 18:12:00,28
2019-08-15 18:13:00,33
2019-08-15 18:14:00,31
2019-08-15 18:15:00,32
2019-08-15 18:16:00,30
2019-08-15 18:17:00,31
2019-08-15 18:18:00,32
2019-08-15 18:19:00,30
2019-08-15 18:20:00,32
2019-08-15 18:21:00,31
2019-08-15 18:22:00,32
2019-08-15 18:23:00,31
2019-08-15 18:24:00,32
2019-08-15 18:25:00,31
2019-08-15 18:26:00,32
2019-08-15 18:27:00,31
2019-08-15 18:28:00,32
2019-08-15 18:29:00,31
2019-08-15 18:30:00,31
2019-08-15 18:31:00,31
2019-08-15 18:32:00,32
2019-08-15 18:33:00,32
2019-08-15 18:34:00,31
2019-08-15 18:35:00,31
2019-08-15 18:36:00,31
2019-08-15 18:37:00,32
2019-08-15 18:38:00,31
2019-08-15 18:39:00,32
2019-08-15 18:40:00,32
2019-08-15 18:41:00,31
2019-08-15 18:42:00,32
2019-08-15 18:43:00,32
2019-08-15 18:44:00,32
2019-08-15 18:45:00,31
2019-08-15 18:46:00,29
2019-08-15 18:47:00,31
2019-08-15 18:48:00,32
2019-08-15 18:49:00,32
2019-08-15 18:50:00,31
2019-08-15 18:51:00,32
2019-08-15 18:52:00,31
2019-08-15 18:53:00,32
2019-08-15 18:54:00,32
2019-08-15 18:55:00,31
2019-08-15 18:56:00,31
2019-08-15 18:57:00,32
2019-08-15 18:58:00,32
2019-08-15 18:59:00,32
2019-08-15 19:00:00,29
2019-08-15 19:01:00,32
2019-08-15 19:02:00,31
2019-08-15 19:03:00,32
2019-08-15 19:04:00,32
2019-08-15 19:05:00,31
2019-08-15 19:06:00,32
2019-08-15 19:07:00,32
2019-08-15 19:08:00,32
2019-08-15 19:09:00,30
2019-08-15 19:10:00,32
2019-08-15 19:11:00,32
2019-08-15 19:12:00,31
2019-08-15 19:13:00,32
2019-08-15 19:14:00,32
2019-08-15 19:15:00,32
2019-08-15 19:16:00,32
2019-08-15 19:17:00,32
2019-08-15 19:18:00,31
2019-08-15 19:19:00,31
2019-08-15 19:20:00,32
2019-08-15 19:21:00,30
2019-08-15 19:22:00,32
2019-08-15 19:23:00,32
2019-08-15 19:24:00,32
2019-08-15 19:25:00,31
2019-08-15 19:26:00,32
2019-08-15 19:27:00,31
2019-08-15 19:28:00,33
2019-08-15 19:29:00,31
2019-08-15 19:30:00,32
2019-08-15 19:31:00,32
2019-08-15 19:32:00,32
2019-08-15 19:33:00,32
2019-08-15 19:34:00,31
2019-08-15 19:35:00,32
2019-08-15 19:36:00,32
2019-08-15 19:37:00,32
2019-08-15 19:38:00,32
2019-08-15 19:39:00,31
2019-08-15 19:40:00,32
2019-08-15 19:41:00,32
2019-08-15 19:42:00,32
2019-08-15 19:43:00,32
2019-08-15 19:44:00,32
2019-08-15 19:45:00,32
2019-08-15 19:46:00,32
2019-08-15 19:47:00,32
2019-08-15 19:48:00,32
2019-08-15 19:49:00,32
2019-08-15 19:50:00,32
2019-08-15 19:51:00,31
2019-08-15 19:52:00,32
2019-08-15 19:53:00,31
2019-08-15 19:54:00,32
2019-08-15 19:55:00,32
2019-08-15 19:56:00,31
2019-08-15 19:57:00,32
2019-08-15 19:58:00,31
2019-08-15 19:59:00,32
2019-08-15 20:00:00,29
2019-08-15 20:01:00,31
2019-08-15 20:02:00,32
2019-08-15 20:03:00,32
2019-08-15 20:04:00,32
2019-08-15 20:05:00,32
2019-08-15 20:06:00,32
2019-08-15 20:07:00,31
2019-08-15 20:08:00,32
2019-08-15 20:09:00,30
2019-08-15 20:10:00,32
2019-08-15 20:11:00,31
2019-08-15 20:12:00,32
2019-08-15 20:13:00,32
2019-08-15 20:14:00,32
2019-08-15 20:15:00,32
2019-08-15 20:16:00,32
2019-08-15 20:17:00,31
2019-08-15 20:18:00,33
2019-08-15 20:19:00,32
2019-08-15 20:20:00,32
2019-08-15 20:21:00,32
2019-08-15 20:22:00,32
2019-08-15 20:23:00,32
2019-08-15 20:24:00,31
2019-08-15 20:25:00,33
2019-08-15 20:26:00,31
2019-08-15 20:27:00,32
2019-08-15 20:28:00,32
2019-08-15 20:29:00,32
2019-08-15 20:30:00,32
2019-08-15 20:31:00,31
2019-08-15 20:32:00,32
2019-08-15 20:33:00,31
2019-08-15 20:34:00,33
