44,"SELECT U.up_id, S.* FROM #upLoad U CROSS APPLY (SELECT SpecObjid from dbo.fGetNearbySpecObjEq (U.up_ra , U.up_dec , U.up_sep) ) S SELECT TOP # s.ra, s.dec, s.plate, s.mjd, s.fiberid FROM ..SpecObj as s JOIN #x AS x ON x.SpecobjID = s.SpecobjID JOIN #upload AS u ON u.up_id = x.up_id WHERE s.zWarning = # ORDER BY x.up_id"
2019-01-11 09:02:00,1
2019-01-16 18:30:00,1
2019-02-06 13:45:00,1
2019-02-14 17:28:00,1
2019-02-14 21:01:00,1
2019-02-24 18:43:00,1
2019-02-24 18:52:00,2
2019-02-24 20:16:00,2
2019-02-24 20:17:00,1
2019-02-24 20:18:00,3
2019-02-24 20:25:00,1
2019-02-24 20:26:00,2
2019-02-24 20:29:00,1
2019-02-24 20:30:00,2
2019-03-01 01:27:00,1
2019-03-01 01:46:00,1
2019-03-01 01:47:00,1
2019-03-01 01:49:00,1
2019-03-01 01:50:00,1
2019-03-01 01:54:00,1
2019-03-01 05:02:00,4
2019-03-08 05:44:00,1
2019-04-10 05:54:00,1
2019-04-10 05:55:00,1
2019-05-02 13:52:00,2
2019-06-25 16:26:00,1
2019-09-09 07:36:00,1
2019-09-09 07:37:00,1
2019-09-24 22:38:00,2
2019-10-04 21:57:00,1
2019-10-04 21:58:00,2
2019-12-12 23:15:00,1
