54,"SELECT TOP # s.specObjID, s.ra, s.dec, s.z, s.zErr, s.zWarning, s.class FROM ..SpecObj as s JOIN dbo.fGetNearbySpecObjEq (#, #, #) AS b ON b.SpecobjID = S.SpecobjID WHERE s.z > # AND s.zWarning = # AND (s.class = # OR s.class = #) AND s.z < #"
2019-03-28 19:19:00,1
2019-03-28 19:20:00,2
2019-03-28 19:22:00,2
2019-03-28 19:23:00,2
2019-03-28 19:24:00,2
2019-03-28 19:25:00,2
2019-03-28 19:26:00,3
2019-03-28 19:27:00,1
2019-03-28 19:28:00,2
2019-03-28 19:29:00,2
2019-03-28 19:30:00,3
2019-03-28 19:31:00,2
2019-03-28 19:32:00,3
2019-03-28 19:33:00,3
2019-03-28 19:34:00,2
2019-03-28 19:35:00,3
2019-03-28 19:36:00,2
2019-03-28 19:37:00,2
2019-03-28 19:38:00,1
2019-03-28 19:39:00,2
2019-03-28 19:40:00,2
2019-03-28 19:41:00,4
2019-03-28 19:42:00,3
2019-03-28 19:43:00,2
2019-03-28 19:44:00,1
