12,"SELECT TOP # p.ra, p.dec, p.run, p.rerun, p.camCol, p.field, p.obj, str (p.ra, #, #) as ra, str (p.[dec], #, #) as dec, p.r FROM BESTDR7..PhotoObj AS p JOIN #x AS x ON x.objID = p.objID JOIN #upload AS u ON u.up_id = x.up_id WHERE (p.type = # OR p.type = #) ORDER BY x.up_id"
2019-01-04 03:38:00,1
2019-01-29 10:58:00,1
2019-02-02 19:54:00,1
2019-02-02 19:55:00,1
2019-02-11 08:27:00,1
2019-02-26 04:54:00,1
2019-02-26 06:30:00,1
2019-02-26 06:32:00,1
2019-02-26 06:35:00,1
2019-03-12 04:40:00,1
2019-03-15 04:43:00,1
2019-07-16 07:05:00,1
