668,"select top # S.ra as sdss_ra, S.dec as sdss_dec, W.ra as wise_ra, W.dec as wise_dec, S.psfmag_r as r, W.w1mpro as w1 from wise_xmatch as X join wise_allsky as W on X.wise_cntr = W.cntr join photoTag as S on X.sdss_objid = S.objid where S.nchild = #"
2019-01-01 10:14:00,1
2019-01-02 02:03:00,1
2019-01-02 09:09:00,1
2019-01-03 11:19:00,1
2019-01-03 13:14:00,1
2019-01-03 18:33:00,1
2019-01-04 20:23:00,1
2019-01-05 03:07:00,1
2019-01-05 09:55:00,1
2019-01-07 23:35:00,1
2019-01-08 02:52:00,1
2019-01-08 04:35:00,1
2019-01-08 07:00:00,1
2019-01-08 14:51:00,1
2019-01-08 18:13:00,1
2019-01-09 00:48:00,1
2019-01-09 09:28:00,1
2019-01-10 02:45:00,1
2019-01-10 22:51:00,1
2019-01-12 09:48:00,1
2019-01-14 11:51:00,1
2019-01-16 02:58:00,1
2019-01-18 00:00:00,1
2019-01-18 07:05:00,1
2019-01-19 04:03:00,1
2019-01-22 16:10:00,1
2019-01-22 20:46:00,1
2019-01-22 22:57:00,1
2019-01-23 22:56:00,1
2019-01-24 13:56:00,1
2019-01-25 18:01:00,1
2019-01-26 23:17:00,1
2019-01-27 21:13:00,1
2019-01-27 22:56:00,1
2019-01-28 16:22:00,1
2019-01-28 16:50:00,1
2019-01-29 03:53:00,1
2019-01-30 19:13:00,1
2019-01-30 19:15:00,6
2019-01-31 02:04:00,1
2019-01-31 20:06:00,1
2019-02-01 12:59:00,1
2019-02-01 13:13:00,1
2019-02-02 00:19:00,1
2019-02-02 13:54:00,1
2019-02-02 15:55:00,1
2019-02-04 23:06:00,1
2019-02-04 23:07:00,1
2019-02-07 01:31:00,1
2019-02-08 05:27:00,1
2019-02-09 06:43:00,1
2019-02-09 08:42:00,1
2019-02-09 09:52:00,1
2019-02-09 18:56:00,1
2019-02-10 02:40:00,1
2019-02-11 05:19:00,1
2019-02-11 22:26:00,1
2019-02-12 18:11:00,1
2019-02-12 19:59:00,1
2019-02-12 20:02:00,1
2019-02-13 16:31:00,1
2019-02-14 12:51:00,1
2019-02-14 13:50:00,1
2019-02-14 15:29:00,1
2019-02-15 15:30:00,1
2019-02-18 01:00:00,1
2019-02-19 00:19:00,1
2019-02-20 03:04:00,1
2019-02-21 15:54:00,1
2019-02-21 18:51:00,1
2019-02-23 01:25:00,1
2019-02-23 09:13:00,1
2019-02-26 01:09:00,1
2019-02-26 03:04:00,1
2019-02-28 02:59:00,1
2019-02-28 07:45:00,1
2019-02-28 09:02:00,1
2019-02-28 10:15:00,1
2019-02-28 17:18:00,1
2019-03-01 10:26:00,1
2019-03-01 22:12:00,1
2019-03-02 03:06:00,1
2019-03-02 10:37:00,1
2019-03-02 11:48:00,1
2019-03-02 22:46:00,1
2019-03-03 05:45:00,1
2019-03-03 20:26:00,1
2019-03-04 22:37:00,1
2019-03-06 17:18:00,1
2019-03-07 03:57:00,1
2019-03-07 10:58:00,1
2019-03-07 14:16:00,1
2019-03-08 00:34:00,1
2019-03-08 17:53:00,1
2019-03-08 22:15:00,1
2019-03-09 01:38:00,1
2019-03-09 12:28:00,1
2019-03-09 20:08:00,1
2019-03-10 01:33:00,1
2019-03-11 11:23:00,1
2019-03-11 13:25:00,1
2019-03-11 17:16:00,1
2019-03-11 18:44:00,1
2019-03-12 08:41:00,1
2019-03-13 08:33:00,1
2019-03-14 04:10:00,1
2019-03-14 17:16:00,1
2019-03-15 01:37:00,1
2019-03-15 20:00:00,1
2019-03-16 05:01:00,1
2019-03-17 13:16:00,1
2019-03-17 17:25:00,1
