402,select count (*)
2019-01-29 13:18:00,1
2019-02-01 10:17:00,1
2019-02-01 10:20:00,1
2019-02-01 22:20:00,2
2019-02-01 22:21:00,2
2019-02-03 07:17:00,1
2019-02-03 07:18:00,1
2019-02-03 07:22:00,1
2019-02-03 07:23:00,1
2019-02-03 07:29:00,1
2019-02-03 07:30:00,2
2019-02-03 07:34:00,1
2019-02-03 07:38:00,1
2019-02-03 07:43:00,1
2019-02-03 08:47:00,2
2019-02-12 11:51:00,1
2019-02-12 11:52:00,1
2019-02-12 11:53:00,1
2019-02-12 11:54:00,3
2019-02-13 05:30:00,1
2019-02-19 10:58:00,2
2019-02-19 10:59:00,2
2019-03-02 07:24:00,1
2019-03-02 14:11:00,1
2019-03-02 14:12:00,2
2019-03-02 14:13:00,3
2019-03-02 14:14:00,2
2019-03-02 14:15:00,3
2019-03-02 14:16:00,2
2019-03-02 14:17:00,1
2019-03-02 14:54:00,1
2019-03-02 14:55:00,1
2019-03-04 14:49:00,1
2019-03-09 16:42:00,1
2019-03-09 16:48:00,1
2019-03-09 16:50:00,1
2019-03-09 16:51:00,1
2019-03-09 16:54:00,1
2019-03-09 17:15:00,1
2019-03-09 17:16:00,1
2019-03-10 10:51:00,1
2019-03-10 10:52:00,2
2019-03-10 10:53:00,1
2019-03-10 10:54:00,1
2019-03-10 10:57:00,2
2019-03-10 10:59:00,1
2019-03-10 11:00:00,2
2019-03-10 11:01:00,1
2019-03-10 11:02:00,2
2019-03-10 11:03:00,2
2019-03-10 11:04:00,2
2019-03-11 18:59:00,2
2019-03-11 19:01:00,1
2019-03-11 19:02:00,1
2019-03-11 19:03:00,1
2019-03-11 19:17:00,1
2019-03-11 19:19:00,1
2019-03-12 16:54:00,3
2019-03-12 16:55:00,1
2019-03-12 16:56:00,1
2019-03-12 17:00:00,2
2019-03-20 12:28:00,1
2019-03-20 12:29:00,2
2019-03-20 17:54:00,1
2019-03-20 17:55:00,4
2019-03-20 17:56:00,1
2019-03-20 17:57:00,3
2019-03-20 17:58:00,4
2019-03-25 22:14:00,1
2019-03-25 22:16:00,1
2019-03-25 22:23:00,2
2019-03-25 22:24:00,1
2019-03-25 22:25:00,1
2019-03-25 22:26:00,2
2019-03-26 20:24:00,1
2019-03-26 20:27:00,1
2019-04-11 13:37:00,1
2019-04-22 07:47:00,1
2019-04-25 19:21:00,1
2019-04-25 19:22:00,1
2019-05-03 15:43:00,1
2019-05-03 15:46:00,1
2019-05-03 15:47:00,2
2019-05-03 15:48:00,1
2019-05-03 15:49:00,2
2019-05-14 18:25:00,1
2019-06-20 03:54:00,1
2019-07-08 09:14:00,2
2019-07-08 09:17:00,1
2019-07-08 09:18:00,1
2019-07-25 16:49:00,1
2019-07-27 14:34:00,1
2019-07-28 08:48:00,1
2019-07-28 08:50:00,1
2019-07-28 10:14:00,1
