122,"SELECT s.specObjID, x.ra, x.dec, x.plate, x.fiberID, x.MJD, s.oii_#_flux as OII3#, s.oiii_#_flux as OIII4#, s.oiii_#_flux as OIII5#, s.h_beta_flux as HBeta, s.nii_#_flux as NII6#, x.logMass as logM FROM galSpecLine s JOIN stellarMassFSPSGranEarlyDust x ON x.specObjID = s.specObjID WHERE x.plate = # AND x.fiberID = # AND x.MJD = #"
2019-03-04 19:32:00,1
2019-03-04 19:33:00,1
2019-03-04 19:34:00,5
2019-03-04 19:35:00,2
2019-03-04 19:38:00,1
2019-03-04 19:41:00,3
2019-03-04 19:42:00,1
2019-03-04 19:43:00,3
2019-03-04 19:47:00,12
2019-03-04 19:49:00,18
2019-03-04 19:50:00,6
2019-03-04 19:51:00,11
2019-03-04 19:52:00,18
2019-03-04 19:53:00,6
2019-03-04 19:54:00,6
2019-03-04 19:55:00,23
2019-03-04 19:56:00,3
2019-03-06 22:08:00,1
2019-03-10 05:28:00,1
