151,"select class, count (z) as num_redshift from specObj where z BETWEEN # and # group by class"
2019-01-09 06:01:00,1
2019-01-18 16:26:00,1
2019-01-28 19:08:00,1
2019-02-08 14:00:00,2
2019-02-10 01:49:00,1
2019-02-13 15:51:00,1
2019-02-13 16:04:00,1
2019-02-13 16:11:00,3
2019-02-13 16:12:00,1
2019-02-13 16:13:00,2
2019-02-13 16:22:00,1
2019-02-13 16:39:00,1
2019-02-14 10:44:00,1
2019-02-14 14:39:00,1
2019-02-20 03:59:00,1
2019-02-21 21:37:00,1
2019-03-03 17:27:00,2
2019-03-08 09:06:00,1
2019-03-11 10:40:00,1
2019-03-11 11:05:00,1
2019-03-11 15:33:00,2
2019-03-12 08:09:00,3
2019-03-14 06:01:00,1
2019-03-16 18:59:00,1
2019-03-20 10:34:00,2
2019-03-21 19:35:00,3
2019-03-21 19:36:00,1
2019-03-22 19:19:00,2
2019-03-22 19:31:00,1
2019-03-22 20:40:00,1
2019-03-27 16:24:00,1
2019-04-03 15:58:00,1
2019-04-09 17:14:00,1
2019-04-09 22:07:00,1
2019-04-09 22:56:00,1
2019-04-10 00:09:00,1
2019-04-10 00:10:00,1
2019-04-10 00:43:00,1
2019-04-17 00:44:00,1
2019-04-17 01:03:00,1
2019-04-17 01:04:00,1
2019-04-19 16:25:00,1
2019-05-03 15:36:00,1
2019-05-06 19:08:00,1
2019-05-07 00:30:00,1
2019-05-07 17:17:00,1
2019-05-08 18:31:00,1
2019-05-10 10:35:00,1
2019-05-10 10:36:00,1
2019-05-27 11:04:00,1
2019-05-27 22:14:00,1
2019-05-28 00:57:00,1
2019-06-03 19:51:00,1
2019-06-07 10:19:00,1
2019-06-14 19:14:00,1
2019-06-16 15:10:00,1
2019-06-19 23:27:00,1
2019-06-20 02:17:00,1
2019-06-20 08:43:00,1
2019-06-21 18:26:00,1
2019-06-21 18:27:00,6
2019-06-21 18:28:00,9
2019-06-21 18:29:00,1
2019-06-22 11:19:00,1
2019-06-22 15:24:00,1
2019-06-25 14:25:00,1
2019-06-27 16:51:00,1
2019-07-03 07:04:00,1
2019-07-09 12:14:00,1
2019-07-10 08:43:00,1
2019-07-18 03:40:00,1
2019-07-18 03:41:00,1
2019-07-19 11:02:00,1
2019-07-22 12:38:00,1
2019-07-24 05:36:00,1
2019-07-25 11:19:00,1
2019-07-29 01:42:00,1
2019-07-29 03:09:00,1
2019-07-29 03:10:00,1
2019-08-11 11:08:00,1
2019-08-11 11:09:00,1
2019-08-14 14:09:00,1
2019-08-14 20:34:00,1
2019-08-19 06:22:00,1
2019-08-20 11:57:00,1
2019-08-22 07:56:00,1
2019-08-23 00:03:00,2
2019-09-06 09:12:00,1
2019-09-10 07:50:00,1
2019-09-19 03:24:00,1
2019-09-23 19:55:00,1
2019-09-29 19:00:00,1
2019-09-30 02:03:00,1
2019-10-03 05:20:00,1
2019-10-06 18:42:00,1
2019-10-06 19:02:00,1
2019-10-09 15:15:00,1
2019-10-15 20:06:00,1
2019-10-18 15:44:00,2
2019-10-25 07:11:00,1
2019-11-01 07:11:00,2
2019-11-02 08:10:00,1
2019-11-07 13:07:00,1
2019-11-14 14:08:00,1
2019-11-14 17:26:00,1
2019-11-21 11:04:00,1
2019-11-27 06:29:00,1
2019-11-30 16:14:00,2
2019-12-02 02:28:00,1
2019-12-02 18:24:00,1
2019-12-03 14:10:00,1
2019-12-11 11:29:00,1
2019-12-11 12:35:00,1
2019-12-13 14:00:00,1
2019-12-23 05:37:00,1
2019-12-23 05:39:00,1
2019-12-23 05:40:00,1
2019-12-23 05:50:00,2
2019-12-23 07:41:00,1
2019-12-25 13:05:00,1
2019-12-25 13:06:00,1
