18,"SELECT up_id, dbo.fGetNearestObjIdEq (up_ra, up_dec, up_sep) as objId FROM #upload WHERE dbo.fGetNearestObjIdEq (up_ra, up_dec, up_sep) IS NOT # SELECT TOP # p.ra, p.dec, p.run, p.rerun, p.camCol, p.field, p.obj FROM ..PhotoObj AS p JOIN #x AS x ON x.objID = p.objID JOIN #upload AS u ON u.up_id = x.up_id WHERE (p.type = #) ORDER BY x.up_id"
2019-01-24 19:33:00,1
2019-03-19 13:30:00,2
2019-03-19 13:32:00,1
2019-03-19 13:35:00,1
2019-03-19 13:36:00,1
2019-05-30 23:04:00,1
2019-05-30 23:05:00,1
2019-08-08 01:46:00,1
2019-08-08 02:00:00,1
2019-08-08 02:01:00,1
2019-09-20 13:57:00,2
2019-11-20 02:16:00,3
2019-11-20 02:17:00,1
2019-11-20 02:27:00,1
