2,"SELECT TOP # p.objid, p.ra, p.dec, s.z as redshift FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.u BETWEEN # AND # AND g BETWEEN # AND #"
2019-09-11 17:52:00,1
2019-11-12 20:56:00,1
