1283,"SELECT TOP # specObjID, z FROM SpecObj WHERE class = # AND zWarning = #"
2019-01-01 09:45:00,1
2019-01-01 11:09:00,1
2019-01-02 00:19:00,1
2019-01-02 00:49:00,1
2019-01-02 01:39:00,1
2019-01-03 07:09:00,1
2019-01-03 11:10:00,1
2019-01-03 11:35:00,1
2019-01-03 14:25:00,1
2019-01-05 08:27:00,1
2019-01-05 18:17:00,1
2019-01-06 07:27:00,1
2019-01-06 07:48:00,1
2019-01-06 12:42:00,1
2019-01-06 17:10:00,1
2019-01-07 00:11:00,1
2019-01-07 12:13:00,1
2019-01-07 23:32:00,1
2019-01-08 00:36:00,1
2019-01-08 01:03:00,1
2019-01-08 03:30:00,1
2019-01-08 03:43:00,1
2019-01-08 06:06:00,1
2019-01-08 06:28:00,1
2019-01-08 07:28:00,1
2019-01-08 08:42:00,1
2019-01-08 15:36:00,1
2019-01-09 16:53:00,1
2019-01-09 17:14:00,1
2019-01-10 02:18:00,1
2019-01-10 22:39:00,1
2019-01-11 04:44:00,1
2019-01-11 11:04:00,1
2019-01-11 22:42:00,1
2019-01-12 03:18:00,1
2019-01-12 09:09:00,1
2019-01-13 08:31:00,1
2019-01-13 09:11:00,1
2019-01-14 11:22:00,1
2019-01-15 23:14:00,1
2019-01-16 16:23:00,1
2019-01-17 05:10:00,1
2019-01-17 18:36:00,1
2019-01-17 23:05:00,1
2019-01-18 04:47:00,1
2019-01-19 14:59:00,1
2019-01-19 15:02:00,1
2019-01-19 15:10:00,1
2019-01-19 20:50:00,1
2019-01-20 19:10:00,1
2019-01-20 19:12:00,1
2019-01-21 17:16:00,1
2019-01-22 00:37:00,1
2019-01-22 08:28:00,1
2019-01-22 09:05:00,1
2019-01-22 13:48:00,1
2019-01-23 12:13:00,1
2019-01-23 23:27:00,1
2019-01-24 13:25:00,1
2019-01-25 12:11:00,1
2019-01-25 15:58:00,1
2019-01-25 16:57:00,1
2019-01-25 18:54:00,1
2019-01-26 02:00:00,1
2019-01-26 13:32:00,1
2019-01-26 18:49:00,1
2019-01-26 20:53:00,1
2019-01-27 14:39:00,1
2019-01-27 22:22:00,1
2019-01-28 14:39:00,1
2019-01-28 15:17:00,1
2019-01-29 01:21:00,1
2019-01-29 07:06:00,1
2019-01-30 09:31:00,1
2019-01-30 16:06:00,1
2019-01-30 16:11:00,1
2019-01-30 16:13:00,6
2019-01-30 16:15:00,6
2019-01-30 16:19:00,1
2019-01-30 23:12:00,1
2019-01-31 03:51:00,1
2019-01-31 20:02:00,1
2019-01-31 20:15:00,1
2019-01-31 20:16:00,1
2019-01-31 20:17:00,1
2019-01-31 20:18:00,1
2019-02-01 10:23:00,1
2019-02-01 11:59:00,1
2019-02-01 21:56:00,1
2019-02-02 08:26:00,1
2019-02-02 09:50:00,1
2019-02-02 15:23:00,1
2019-02-03 03:36:00,1
2019-02-03 06:16:00,1
2019-02-04 13:41:00,1
2019-02-04 14:12:00,1
2019-02-04 14:43:00,1
2019-02-06 04:20:00,1
2019-02-07 04:42:00,1
2019-02-07 06:25:00,1
2019-02-07 20:59:00,1
2019-02-08 01:25:00,1
2019-02-08 01:32:00,1
2019-02-08 02:48:00,1
2019-02-08 05:06:00,1
2019-02-08 17:40:00,1
2019-02-08 17:42:00,1
2019-02-08 18:13:00,1
2019-02-08 22:19:00,1
2019-02-08 23:08:00,1
2019-02-09 08:25:00,1
2019-02-09 17:36:00,1
2019-02-09 17:53:00,1
2019-02-10 00:36:00,1
2019-02-10 05:54:00,1
2019-02-10 09:44:00,1
2019-02-11 04:03:00,1
2019-02-11 11:15:00,1
2019-02-11 22:13:00,1
2019-02-11 23:15:00,1
2019-02-11 23:17:00,1
2019-02-12 15:58:00,1
2019-02-12 19:29:00,1
2019-02-12 19:44:00,1
2019-02-13 13:07:00,1
2019-02-14 12:08:00,1
2019-02-14 12:12:00,1
2019-02-14 12:59:00,1
2019-02-14 18:51:00,1
2019-02-15 05:49:00,1
2019-02-17 05:29:00,1
2019-02-17 09:05:00,1
2019-02-18 00:11:00,1
2019-02-18 03:07:00,1
2019-02-19 00:02:00,1
2019-02-21 01:19:00,1
2019-02-21 07:25:00,1
2019-02-21 13:44:00,1
2019-02-22 05:57:00,1
2019-02-23 20:58:00,1
2019-02-24 11:53:00,1
2019-02-24 18:58:00,1
2019-02-24 18:59:00,1
2019-02-24 19:04:00,1
2019-02-24 21:26:00,1
2019-02-25 09:15:00,1
2019-02-25 10:03:00,1
2019-02-25 18:46:00,1
2019-02-25 21:49:00,1
2019-02-25 21:54:00,1
2019-02-26 02:07:00,1
2019-02-26 13:53:00,1
2019-02-26 19:01:00,1
2019-02-27 19:52:00,1
2019-02-27 22:32:00,1
2019-02-28 01:08:00,1
2019-02-28 02:27:00,1
2019-02-28 03:35:00,1
2019-02-28 08:41:00,1
2019-02-28 17:15:00,1
2019-03-01 02:35:00,1
2019-03-01 02:59:00,1
2019-03-01 04:31:00,1
2019-03-01 10:10:00,1
2019-03-01 12:59:00,1
2019-03-01 21:54:00,1
2019-03-01 22:35:00,1
2019-03-02 02:10:00,1
2019-03-02 09:26:00,1
2019-03-02 09:34:00,1
2019-03-02 12:43:00,1
2019-03-02 12:45:00,1
2019-03-02 17:50:00,1
2019-03-02 17:58:00,1
2019-03-02 17:59:00,1
2019-03-02 22:41:00,1
2019-03-02 23:37:00,1
2019-03-03 03:00:00,1
2019-03-03 03:33:00,1
2019-03-04 04:34:00,1
2019-03-04 12:35:00,1
2019-03-04 12:37:00,1
2019-03-04 17:46:00,2
2019-03-04 18:54:00,1
2019-03-04 19:11:00,1
2019-03-04 23:19:00,1
2019-03-05 07:35:00,1
2019-03-05 08:54:00,1
2019-03-05 11:02:00,1
2019-03-05 11:03:00,1
2019-03-05 11:06:00,1
2019-03-05 11:50:00,1
2019-03-05 11:51:00,1
2019-03-05 11:52:00,1
2019-03-05 18:13:00,1
2019-03-05 23:36:00,1
2019-03-06 10:56:00,1
2019-03-06 13:25:00,1
2019-03-06 14:46:00,1
2019-03-06 15:26:00,1
2019-03-06 16:47:00,1
2019-03-06 16:50:00,1
2019-03-06 23:14:00,1
2019-03-07 00:42:00,1
2019-03-07 08:29:00,1
2019-03-07 12:22:00,1
2019-03-07 12:23:00,1
2019-03-07 13:51:00,1
2019-03-07 15:12:00,1
2019-03-07 17:48:00,1
2019-03-07 19:35:00,1
2019-03-07 19:36:00,2
2019-03-07 19:37:00,1
2019-03-08 00:43:00,1
2019-03-08 03:18:00,1
2019-03-08 10:11:00,1
2019-03-08 10:40:00,1
2019-03-08 14:22:00,1
2019-03-08 14:24:00,1
2019-03-08 20:34:00,1
2019-03-08 21:29:00,1
2019-03-08 23:14:00,1
2019-03-09 06:23:00,1
