4,"SELECT TOP # s.specobjid, s.class, s.z as redshift, s.plate, s.mjd, s.fiberid FROM SpecObj AS s WHERE # > = CAST (CHECKSUM (NEWID () , s.plate) & # AS float) / CAST (# AS int)"
2019-05-27 18:51:00,1
2019-05-27 22:40:00,2
2019-05-27 23:04:00,1
