3,"SELECT TOP # bestObjID, z, CASE WHEN # < = z AND z < = # THEN z END, CASE WHEN # < z AND z < = # THEN z END AS # FROM SpecObj WHERE class = # AND zWarning = #"
2019-03-25 19:32:00,2
2019-03-25 19:36:00,1
