150,"select top # ra, dec from galaxy"
2019-01-03 22:47:00,1
2019-01-10 12:35:00,1
2019-01-10 12:38:00,1
2019-01-10 12:39:00,2
2019-01-10 12:40:00,4
2019-01-10 12:41:00,1
2019-01-10 12:42:00,3
2019-01-10 12:44:00,1
2019-01-10 12:45:00,3
2019-01-10 12:46:00,4
2019-01-10 12:47:00,4
2019-01-18 17:29:00,1
2019-01-18 17:30:00,1
2019-01-18 17:31:00,1
2019-01-18 17:32:00,1
2019-01-18 17:33:00,4
2019-01-18 17:34:00,1
2019-01-18 17:35:00,2
2019-01-18 17:42:00,1
2019-01-18 17:44:00,2
2019-01-18 17:45:00,2
2019-01-18 17:46:00,1
2019-01-18 17:47:00,1
2019-01-18 17:48:00,2
2019-01-18 17:49:00,1
2019-01-18 17:50:00,1
2019-01-18 17:51:00,3
2019-01-18 17:52:00,1
2019-01-18 17:53:00,2
2019-01-18 17:54:00,2
2019-01-18 17:55:00,1
2019-01-18 17:56:00,2
2019-01-18 17:57:00,2
2019-01-18 17:58:00,2
2019-01-18 18:00:00,2
2019-01-18 18:01:00,1
2019-01-18 18:04:00,3
2019-01-18 18:07:00,4
2019-01-18 18:08:00,3
2019-01-18 18:09:00,2
2019-02-04 14:11:00,2
2019-02-04 14:12:00,2
2019-02-04 14:13:00,1
2019-02-04 14:16:00,3
2019-02-26 14:53:00,1
2019-02-26 14:54:00,2
2019-03-22 12:07:00,1
2019-04-17 11:36:00,2
2019-04-26 17:00:00,1
2019-04-26 17:03:00,2
2019-05-15 15:30:00,1
2019-07-09 12:22:00,2
2019-08-19 07:28:00,1
2019-08-19 07:32:00,3
2019-08-19 07:45:00,1
2019-08-19 07:48:00,1
2019-08-19 07:50:00,2
2019-08-19 08:15:00,1
2019-08-19 09:36:00,1
2019-08-19 10:50:00,2
2019-08-19 10:51:00,1
2019-08-19 10:58:00,3
2019-08-19 10:59:00,1
2019-08-19 11:00:00,1
2019-08-19 11:02:00,1
2019-08-19 11:04:00,1
2019-08-19 11:05:00,3
2019-08-19 11:06:00,2
2019-08-19 11:07:00,1
2019-08-19 11:14:00,1
2019-08-19 11:16:00,1
2019-08-19 11:17:00,1
2019-08-19 11:18:00,1
2019-09-27 01:45:00,1
2019-09-27 15:08:00,1
2019-09-27 15:17:00,1
2019-09-27 15:22:00,2
2019-09-27 15:53:00,1
2019-09-27 16:30:00,2
2019-09-27 16:44:00,1
2019-10-08 20:35:00,1
2019-10-13 07:19:00,1
2019-11-08 20:29:00,1
2019-11-08 20:30:00,2
2019-11-14 18:04:00,1
2019-11-22 17:39:00,1
2019-11-22 17:43:00,1
2019-12-11 02:40:00,1
2019-12-11 02:43:00,4
2019-12-11 02:47:00,1
