1669,select AND # = #
2019-01-01 00:02:00,1
2019-01-01 00:05:00,1
2019-01-01 00:08:00,1
2019-01-01 00:11:00,1
2019-01-01 00:14:00,1
2019-01-01 00:17:00,1
2019-01-01 00:20:00,1
2019-01-01 00:23:00,1
2019-01-01 00:26:00,1
2019-01-01 00:29:00,1
2019-01-01 00:32:00,1
2019-01-01 00:35:00,1
2019-01-01 00:38:00,1
2019-01-01 00:41:00,1
2019-01-01 00:44:00,1
2019-01-01 00:47:00,1
2019-01-01 00:50:00,1
2019-01-01 00:53:00,1
2019-01-01 00:56:00,1
2019-01-01 00:59:00,1
2019-01-01 01:02:00,1
2019-01-01 01:05:00,1
2019-01-01 01:08:00,1
2019-01-01 01:11:00,1
2019-01-01 01:14:00,1
2019-01-01 01:17:00,1
2019-01-01 01:20:00,1
2019-01-01 01:23:00,1
2019-01-01 01:29:00,1
2019-01-01 01:32:00,1
2019-01-01 01:35:00,1
2019-01-01 01:38:00,1
2019-01-01 01:41:00,1
2019-01-01 01:44:00,1
2019-01-01 01:47:00,1
2019-01-01 01:50:00,1
2019-01-01 01:53:00,1
2019-01-01 01:56:00,1
2019-01-01 01:59:00,1
2019-01-01 02:02:00,1
2019-01-01 02:05:00,1
2019-01-01 02:08:00,1
2019-01-01 02:11:00,1
2019-01-01 02:14:00,1
2019-01-01 02:17:00,1
2019-01-01 02:20:00,1
2019-01-01 02:23:00,1
2019-01-01 02:26:00,1
2019-01-01 02:32:00,1
2019-01-01 02:35:00,1
2019-01-01 02:38:00,1
2019-01-01 02:41:00,1
2019-01-01 02:44:00,1
2019-01-01 02:47:00,1
2019-01-01 02:50:00,1
2019-01-01 02:53:00,1
2019-01-01 02:56:00,1
2019-01-01 02:59:00,1
2019-01-01 03:02:00,1
2019-01-01 03:05:00,1
2019-01-01 03:08:00,1
2019-01-01 03:11:00,1
2019-01-01 03:14:00,1
2019-01-01 03:17:00,1
2019-01-01 03:20:00,1
2019-01-01 03:23:00,1
2019-01-01 03:26:00,1
2019-01-01 03:29:00,1
2019-01-01 03:35:00,1
2019-01-01 03:38:00,1
2019-01-01 03:41:00,1
2019-01-01 03:44:00,1
2019-01-01 03:47:00,1
2019-01-01 03:50:00,1
2019-01-01 03:53:00,1
2019-01-01 03:56:00,1
2019-01-01 03:59:00,1
2019-01-01 04:02:00,1
2019-01-01 04:05:00,1
2019-01-01 04:08:00,1
2019-01-01 04:11:00,1
2019-01-01 04:14:00,1
2019-01-01 04:17:00,1
