23,"SELECT TOP # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.run, p.rerun, p.camcol, p.field, s.specobjid, s.class, s.z as redshift, s.plate, s.mjd, s.fiberid into mydb.MyTable_# from PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.u BETWEEN # AND # AND g BETWEEN # AND #"
2019-01-03 08:46:00,1
2019-01-03 08:48:00,1
2019-01-03 08:50:00,1
2019-02-09 17:04:00,1
2019-02-13 09:25:00,2
2019-03-14 12:24:00,1
2019-03-14 12:25:00,1
2019-04-02 02:02:00,1
2019-04-02 02:04:00,1
2019-05-30 12:40:00,1
2019-06-30 04:12:00,1
2019-08-13 17:41:00,1
2019-08-13 17:45:00,1
2019-08-13 18:23:00,1
2019-10-02 14:29:00,1
2019-10-02 14:32:00,1
2019-11-14 05:25:00,1
2019-11-14 05:27:00,3
2019-11-14 05:36:00,1
2019-11-14 05:37:00,1
