2,"SELECT TOP # s.plate, s.mjd, s.fiberid, p.u, p.g, p.r, p.i, p.z FROM ..SpecObj as s JOIN ..Galaxy AS p ON s.bestObjID = p.objID WHERE s.zWarning = #"
2019-08-09 22:17:00,1
2019-08-09 22:20:00,1
