2,"SELECT TOP # oiii_#_flux, oii_#_flux, oii_#_flux, nii_#_flux, h_beta_flux, h_alpha_flux INTO mydb.nearGalaxiesFluxes FROM dr1#.galSpecLine WHERE specObjID IN (SELECT specObjID FROM dr1#.galSpecInfo WHERE z < # AND spectrotype = GALAXY#"
2019-07-28 09:25:00,1
2019-07-28 09:26:00,1
