96,"select top # spa.ra, spa.dec, spa.dered_r as magnitude, spa.class, spa.z, soa.xfocal as x, soa.yfocal as y from specphotoAll as spa join specObjAll as soa on soa.specObjID = spa.specObjID where spa.plate = XXXX and spa.dered_r > # order by spa.dered_r asc"
2019-06-24 19:31:00,2
2019-06-24 19:32:00,2
2019-06-24 19:33:00,1
2019-09-09 12:02:00,1
2019-09-09 12:03:00,1
2019-09-09 12:05:00,1
2019-09-09 16:49:00,1
2019-09-10 04:33:00,1
2019-09-17 12:03:00,1
2019-09-17 12:05:00,3
2019-09-17 12:06:00,3
2019-09-17 12:08:00,1
2019-09-17 12:15:00,1
2019-09-17 12:16:00,8
2019-09-17 12:17:00,1
2019-09-17 12:18:00,12
2019-09-17 12:19:00,2
2019-09-17 12:22:00,3
2019-09-17 12:23:00,7
2019-09-17 12:25:00,5
2019-09-17 12:26:00,7
2019-09-17 12:27:00,5
2019-09-17 12:30:00,4
2019-09-17 12:31:00,11
2019-10-04 14:25:00,2
2019-11-02 15:54:00,3
2019-11-02 16:25:00,1
2019-12-30 11:18:00,1
2019-12-30 11:55:00,1
2019-12-30 11:56:00,3
2019-12-30 13:13:00,1
