14,"SELECT s.ra, s.dec, s.dered_g, s.dered_r, p.oiii_#_reqw as oir, p.h_beta_reqw as hbr, p.nii_#_reqw as nir, p.h_alpha_reqw as har, p.oiii_#_reqw_err as oir_e, p.h_beta_reqw_err as hbr_e, p.nii_#_reqw_err as nir_e, p.h_alpha_reqw_err as har_e, p.specObjID FROM galSpecLine as p JOIN PhotoObjAll as s ON p.specObjID = s.objID WHERE p.oiii_#_reqw_err > # AND p.h_beta_reqw_err > # AND p.nii_#_reqw_err > # AND p.h_alpha_reqw_err > # AND p.oiii_#_reqw/p.oiii_#_reqw_err > # AND p.h_beta_reqw/p.h_beta_reqw_err > # AND p.nii_#_reqw/p.nii_#_reqw_err > # AND p.h_alpha_reqw/p.h_alpha_reqw_err > #"
2019-04-11 17:34:00,1
2019-04-18 15:21:00,3
2019-04-18 15:22:00,2
2019-04-18 15:23:00,2
2019-04-18 15:27:00,1
2019-04-18 15:30:00,1
2019-04-18 15:33:00,3
2019-04-18 15:36:00,1
