7912,"SELECT ra, dec, dered_u, dered_g, dered_r, dered_i, dered_z, Err_u, Err_g, Err_r, Err_i, Err_z, flags_r, run FROM Galaxy WHERE (run = # OR run = #) AND ra BETWEEN # and # AND dec BETWEEN # and #"
2019-02-21 14:07:00,4
2019-02-22 04:31:00,16
2019-02-22 04:37:00,1
2019-02-22 04:38:00,1
2019-02-22 04:41:00,1
2019-02-22 04:42:00,1
2019-02-22 04:44:00,2
2019-02-22 04:46:00,10
2019-02-22 04:47:00,6
2019-02-22 04:48:00,12
2019-02-22 04:49:00,9
2019-02-22 04:50:00,8
2019-02-22 04:51:00,2
2019-02-22 04:54:00,10
2019-02-22 04:55:00,2
2019-02-22 04:58:00,1
2019-02-22 04:59:00,1
2019-02-22 05:00:00,7
2019-02-22 05:01:00,5
2019-02-22 05:02:00,6
2019-02-22 05:03:00,14
2019-02-22 05:04:00,5
2019-02-22 05:05:00,5
2019-02-22 05:06:00,8
2019-02-22 05:07:00,11
2019-02-22 05:08:00,6
2019-02-22 05:09:00,3
2019-02-22 05:10:00,3
2019-02-22 05:11:00,3
2019-02-22 05:12:00,2
2019-02-22 05:13:00,2
2019-02-22 05:14:00,2
2019-02-22 05:15:00,2
2019-02-22 05:16:00,2
2019-02-22 05:17:00,3
2019-02-22 05:18:00,4
2019-03-12 07:58:00,14
2019-03-12 07:59:00,22
2019-03-12 08:00:00,19
2019-03-12 08:01:00,33
2019-03-12 08:02:00,21
2019-03-12 08:03:00,27
2019-03-12 08:04:00,32
2019-03-12 08:05:00,23
2019-03-12 08:06:00,26
2019-03-12 08:07:00,30
2019-03-12 08:08:00,37
2019-03-12 08:09:00,21
2019-03-12 08:10:00,23
2019-03-12 08:11:00,40
2019-03-12 08:12:00,40
2019-03-12 08:13:00,52
2019-03-12 08:14:00,51
2019-03-12 08:15:00,66
2019-03-12 08:16:00,67
2019-03-12 08:17:00,72
2019-03-12 08:18:00,71
2019-03-12 08:19:00,65
2019-03-12 08:20:00,78
2019-03-12 08:21:00,58
2019-03-12 08:22:00,45
2019-03-12 08:23:00,34
2019-03-12 08:24:00,52
