2,"select p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z from photoobj p, dbo.fgetNearByObjEq (#, #, #) n where p.objid = n.objid and (p.g BETWEEN # AND #) and (p.r BETWEEN # AND #)"
2019-11-18 02:16:00,1
2019-11-18 02:18:00,1
