1835,select * from zoo2Stripe8#Normal where dr8objid = #
2019-01-01 03:51:00,1
2019-01-01 04:51:00,1
2019-01-01 08:20:00,1
2019-01-01 10:15:00,1
2019-01-01 14:43:00,1
2019-01-01 19:43:00,1
2019-01-01 19:52:00,1
2019-01-01 20:03:00,1
2019-01-01 20:16:00,1
2019-01-01 20:22:00,1
2019-01-01 20:54:00,1
2019-01-01 22:15:00,1
2019-01-01 23:11:00,1
2019-01-02 01:34:00,1
2019-01-02 02:49:00,1
2019-01-02 07:34:00,1
2019-01-02 08:10:00,1
2019-01-02 08:13:00,1
2019-01-02 09:07:00,1
2019-01-02 09:31:00,1
2019-01-02 16:13:00,1
2019-01-02 16:44:00,1
2019-01-02 18:42:00,1
2019-01-02 19:34:00,1
2019-01-02 20:26:00,1
2019-01-02 22:01:00,1
2019-01-02 22:07:00,1
2019-01-02 22:12:00,1
2019-01-02 22:26:00,1
2019-01-02 23:04:00,1
2019-01-03 00:38:00,1
2019-01-03 01:02:00,1
2019-01-03 01:20:00,1
2019-01-03 01:21:00,1
2019-01-03 02:12:00,1
2019-01-03 03:46:00,1
2019-01-03 03:47:00,1
2019-01-03 05:15:00,1
2019-01-03 05:42:00,1
2019-01-03 07:24:00,1
2019-01-03 07:56:00,1
2019-01-03 07:57:00,1
2019-01-03 08:16:00,1
2019-01-03 08:50:00,1
2019-01-03 08:52:00,1
2019-01-03 09:36:00,1
2019-01-03 13:21:00,1
2019-01-03 13:50:00,1
2019-01-03 13:54:00,1
2019-01-03 14:48:00,1
2019-01-03 15:42:00,1
2019-01-03 16:09:00,1
2019-01-03 17:13:00,1
2019-01-03 20:07:00,2
2019-01-03 20:40:00,1
2019-01-04 00:42:00,1
2019-01-04 01:00:00,1
2019-01-04 01:58:00,1
2019-01-04 03:25:00,1
2019-01-04 04:07:00,1
2019-01-04 04:11:00,1
2019-01-04 05:09:00,1
2019-01-04 05:34:00,1
2019-01-04 06:45:00,1
2019-01-04 07:28:00,1
2019-01-04 07:34:00,1
2019-01-04 07:42:00,1
2019-01-04 08:24:00,1
2019-01-04 11:45:00,1
2019-01-04 13:19:00,1
2019-01-04 14:28:00,1
2019-01-04 14:48:00,1
2019-01-04 15:49:00,1
2019-01-04 16:25:00,1
2019-01-04 19:10:00,1
2019-01-04 19:39:00,1
2019-01-05 04:35:00,1
2019-01-05 05:50:00,1
2019-01-05 07:17:00,1
2019-01-05 12:06:00,1
2019-01-06 16:05:00,1
2019-01-06 19:38:00,1
2019-01-07 09:32:00,1
2019-01-08 01:19:00,1
2019-01-08 18:14:00,1
2019-01-08 18:18:00,1
2019-01-08 18:33:00,1
2019-01-08 19:04:00,1
2019-01-09 00:28:00,1
2019-01-09 21:33:00,1
2019-01-10 07:55:00,1
2019-01-10 13:47:00,1
2019-01-10 19:50:00,1
2019-01-11 01:51:00,1
2019-01-11 02:34:00,1
2019-01-11 07:01:00,1
2019-01-11 08:55:00,1
2019-01-12 06:38:00,1
2019-01-12 08:21:00,1
2019-01-19 09:39:00,1
2019-01-19 21:22:00,1
2019-01-19 22:07:00,1
2019-01-20 08:17:00,1
2019-01-20 09:30:00,1
2019-01-20 12:35:00,1
2019-01-20 14:43:00,1
2019-01-20 22:29:00,1
2019-01-21 10:22:00,1
2019-01-21 15:36:00,1
2019-01-21 17:33:00,1
2019-01-21 22:24:00,1
2019-01-22 04:29:00,1
2019-01-23 08:57:00,1
2019-01-23 09:16:00,1
2019-01-23 09:54:00,1
2019-01-23 14:36:00,1
2019-01-24 06:53:00,1
2019-01-24 07:06:00,1
2019-01-25 12:06:00,1
2019-01-25 12:17:00,1
2019-01-25 15:04:00,1
2019-01-25 19:27:00,1
2019-01-26 05:54:00,1
2019-01-26 06:16:00,1
2019-01-27 04:02:00,2
2019-01-27 05:53:00,1
2019-01-27 08:18:00,1
2019-01-27 09:15:00,1
2019-01-27 11:32:00,1
2019-01-27 15:30:00,1
2019-01-27 15:59:00,1
2019-01-27 17:12:00,1
2019-01-28 08:38:00,1
2019-01-28 14:13:00,1
2019-01-28 14:47:00,1
2019-01-28 20:27:00,1
2019-01-28 22:00:00,1
2019-01-29 01:18:00,1
2019-01-29 05:50:00,1
2019-01-29 06:28:00,1
2019-01-29 11:01:00,2
2019-01-29 14:43:00,4
2019-01-29 16:32:00,5
2019-01-29 19:20:00,1
2019-01-29 21:51:00,1
2019-01-30 04:01:00,1
2019-01-30 06:05:00,1
2019-01-30 07:57:00,1
2019-01-30 09:59:00,1
2019-01-30 15:29:00,1
2019-01-30 20:15:00,1
2019-01-30 20:39:00,1
2019-01-31 01:56:00,1
2019-01-31 02:22:00,1
2019-01-31 06:24:00,1
2019-01-31 10:56:00,1
2019-01-31 11:21:00,1
2019-01-31 13:35:00,1
2019-01-31 20:16:00,1
2019-01-31 23:37:00,1
2019-02-01 00:14:00,1
2019-02-01 05:36:00,1
2019-02-01 07:36:00,19
2019-02-01 07:37:00,26
2019-02-01 07:38:00,23
2019-02-01 07:39:00,4
2019-02-01 08:27:00,1
2019-02-01 08:28:00,8
2019-02-01 08:29:00,28
2019-02-01 08:30:00,13
2019-02-01 09:42:00,1
2019-02-01 17:49:00,1
2019-02-01 18:26:00,28
2019-02-01 20:24:00,4
2019-02-01 20:25:00,6
2019-02-01 20:26:00,5
2019-02-01 20:27:00,2
2019-02-02 02:41:00,1
2019-02-02 03:52:00,8
2019-02-02 03:53:00,8
2019-02-02 11:22:00,1
2019-02-02 19:11:00,1
2019-02-02 19:28:00,1
2019-02-03 04:25:00,17
2019-02-03 04:26:00,18
2019-02-03 07:04:00,1
2019-02-03 15:37:00,1
2019-02-03 18:58:00,1
2019-02-03 22:28:00,2
2019-02-04 11:32:00,3
2019-02-05 15:25:00,1
2019-02-10 16:15:00,1
2019-02-11 21:56:00,2
2019-02-15 05:41:00,1
2019-02-20 10:27:00,1
2019-02-20 20:21:00,6
2019-02-21 18:29:00,11
2019-03-04 20:44:00,1
2019-03-12 04:24:00,12
2019-03-13 23:24:00,2
2019-03-26 10:27:00,1
2019-04-02 13:25:00,1
2019-04-02 13:26:00,1
2019-04-04 18:22:00,1
2019-04-05 00:08:00,1
2019-04-14 02:13:00,1
2019-04-14 02:32:00,1
2019-04-17 04:11:00,1
2019-04-17 07:23:00,1
2019-04-19 15:39:00,3
2019-04-19 17:23:00,3
2019-04-20 01:43:00,1
2019-04-20 12:27:00,6
2019-04-21 01:10:00,1
2019-04-22 11:08:00,2
2019-04-22 11:09:00,8
2019-04-22 11:10:00,8
2019-04-22 11:11:00,16
2019-04-22 11:12:00,7
2019-04-22 11:13:00,5
2019-04-22 11:14:00,5
2019-04-22 11:15:00,4
2019-04-22 11:16:00,5
2019-04-22 11:17:00,7
2019-04-22 11:18:00,6
2019-04-22 11:19:00,6
2019-04-22 11:20:00,6
2019-04-22 11:21:00,6
2019-04-22 11:22:00,5
2019-04-22 11:23:00,6
2019-04-22 11:24:00,5
2019-04-22 13:14:00,9
2019-04-22 13:15:00,26
2019-04-22 14:58:00,7
2019-04-22 14:59:00,17
2019-04-22 22:41:00,1
2019-04-23 12:37:00,5
2019-04-23 13:50:00,10
2019-04-23 16:12:00,1
2019-04-24 06:54:00,20
2019-04-24 06:55:00,15
2019-04-25 00:42:00,1
2019-04-26 12:03:00,3
2019-04-26 19:28:00,2
2019-05-03 13:50:00,1
2019-05-03 15:09:00,1
2019-05-11 05:49:00,1
2019-05-14 21:35:00,15
2019-05-14 21:36:00,2
2019-05-15 20:21:00,1
2019-05-15 23:24:00,1
2019-05-22 20:23:00,1
2019-05-23 09:41:00,1
2019-05-25 12:29:00,1
2019-05-29 18:23:00,1
2019-05-31 02:13:00,4
2019-05-31 02:14:00,2
2019-05-31 03:23:00,2
2019-05-31 03:24:00,4
2019-05-31 18:30:00,1
2019-06-02 19:57:00,1
2019-06-03 15:48:00,1
2019-06-03 17:33:00,2
2019-06-03 22:38:00,1
2019-06-04 02:51:00,1
2019-06-04 20:01:00,1
2019-06-05 15:51:00,1
2019-06-05 16:35:00,1
2019-06-05 19:01:00,1
2019-06-05 22:33:00,1
2019-06-06 01:58:00,1
2019-06-06 09:31:00,1
2019-06-06 10:03:00,1
2019-06-06 13:36:00,1
2019-06-06 13:40:00,1
2019-06-06 16:13:00,1
2019-06-06 20:55:00,1
2019-06-06 21:03:00,1
2019-06-07 16:53:00,1
2019-06-07 19:48:00,1
2019-06-07 22:55:00,1
2019-06-08 10:07:00,1
2019-06-08 10:39:00,1
2019-06-08 10:41:00,1
2019-06-08 11:13:00,1
2019-06-08 11:49:00,1
2019-06-08 14:19:00,1
2019-06-08 14:22:00,1
2019-06-08 16:53:00,1
2019-06-08 21:33:00,1
2019-06-08 21:42:00,1
2019-06-09 08:03:00,1
2019-06-09 09:12:00,1
