149,"SELECT TOP # p.objid, p.ra, p.dec, p.petror9#_r, p.dered_g, p.dered_r, s.z as z_spec, s.zErr, zns.nvote, zns.p_el as elliptical, zns.p_cw as spiralclock, zns.p_acw as spiralanticlock, zns.p_edge as edgeon, zns.p_dk as dontknow, zns.p_mg as merger FROM Galaxy as p JOIN ZooNoSpec AS zns ON p.objid = zns.objid JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.clean = # and zns.nvote > = # and zns.p_cw > #"
2019-02-20 14:33:00,1
2019-02-20 14:34:00,1
2019-02-20 14:35:00,1
2019-02-20 14:47:00,1
2019-02-20 14:48:00,1
2019-02-20 15:02:00,2
2019-02-20 15:41:00,1
2019-02-20 15:44:00,1
2019-02-20 17:22:00,1
2019-02-20 18:03:00,1
2019-02-20 18:38:00,1
2019-02-20 18:39:00,1
2019-02-21 16:36:00,2
2019-02-21 16:38:00,1
2019-02-21 16:45:00,1
2019-02-21 16:46:00,4
2019-02-21 16:48:00,1
2019-02-21 16:52:00,1
2019-02-21 17:02:00,3
2019-02-21 17:03:00,2
2019-02-21 17:06:00,4
2019-02-21 17:08:00,2
2019-02-21 17:09:00,1
2019-02-21 17:14:00,2
2019-02-21 17:17:00,1
2019-02-21 17:18:00,1
2019-02-21 17:23:00,1
2019-02-21 17:24:00,1
2019-02-21 17:27:00,3
2019-02-21 17:28:00,1
2019-02-25 15:25:00,1
2019-02-26 15:22:00,1
2019-02-26 18:39:00,1
2019-02-26 18:40:00,1
2019-02-26 18:41:00,4
2019-02-26 18:43:00,1
2019-02-27 14:09:00,1
2019-02-27 14:10:00,2
2019-02-27 14:11:00,2
2019-02-27 14:15:00,1
2019-02-27 14:44:00,5
2019-02-27 14:45:00,5
2019-02-27 14:46:00,2
2019-02-27 14:47:00,2
2019-02-27 14:48:00,2
2019-02-27 14:49:00,2
2019-02-27 14:55:00,1
2019-02-27 14:56:00,2
2019-02-27 14:58:00,2
2019-02-27 14:59:00,2
2019-02-27 15:00:00,1
2019-02-27 15:01:00,2
2019-02-27 15:02:00,2
2019-02-27 15:03:00,1
2019-02-27 16:03:00,1
2019-02-27 16:05:00,2
2019-02-27 16:06:00,3
2019-02-27 16:07:00,2
2019-02-27 16:18:00,1
2019-02-27 17:21:00,1
2019-02-27 17:30:00,1
2019-02-27 17:33:00,1
2019-02-27 18:43:00,1
2019-02-28 14:11:00,1
2019-02-28 14:22:00,2
2019-03-19 15:40:00,1
2019-04-02 14:03:00,2
2019-04-03 15:26:00,1
2019-04-04 11:57:00,1
2019-04-11 17:12:00,1
2019-04-11 17:14:00,2
2019-04-11 17:15:00,1
2019-04-11 17:17:00,1
2019-04-11 17:18:00,1
2019-04-17 15:24:00,1
2019-04-18 15:26:00,2
2019-04-18 15:44:00,3
2019-04-18 15:45:00,1
2019-04-18 15:46:00,1
2019-04-18 15:48:00,1
2019-04-18 15:57:00,1
2019-04-18 16:04:00,1
2019-04-18 16:54:00,2
2019-04-25 13:43:00,1
2019-04-25 13:44:00,1
2019-04-25 16:16:00,2
2019-04-25 16:17:00,4
2019-05-05 10:18:00,2
2019-05-05 13:28:00,1
2019-05-05 13:29:00,1
2019-05-06 15:13:00,2
2019-05-06 15:52:00,2
2019-05-07 10:46:00,2
