59,"SELECT TOP # s.plate, s.mjd, s.fiberid FROM ..SpecObj as s JOIN dbo.fGetNearbySpecObjEq (#, #, #) AS b ON b.SpecobjID = S.SpecobjID WHERE s.z > # AND s.zWarning = # AND s.z < #"
2019-01-17 04:53:00,1
2019-02-13 08:42:00,1
2019-02-14 00:29:00,1
2019-03-18 11:53:00,1
2019-03-18 12:00:00,2
2019-03-18 17:51:00,3
2019-03-18 17:53:00,2
2019-03-18 17:54:00,2
2019-03-18 17:55:00,3
2019-03-19 17:32:00,1
2019-03-19 19:27:00,1
2019-03-19 19:29:00,2
2019-03-19 19:30:00,1
2019-03-19 19:31:00,1
2019-03-20 22:17:00,1
2019-04-12 06:58:00,1
2019-04-19 11:18:00,2
2019-04-19 15:35:00,1
2019-04-22 03:57:00,1
2019-07-15 12:05:00,1
2019-07-15 12:17:00,1
2019-07-15 12:41:00,1
2019-07-15 12:44:00,1
2019-07-15 12:46:00,1
2019-07-15 12:56:00,1
2019-07-15 12:58:00,1
2019-08-17 10:21:00,1
2019-09-02 07:31:00,1
2019-09-10 08:18:00,1
2019-09-20 09:20:00,2
2019-09-20 09:21:00,1
2019-09-23 06:41:00,1
2019-09-23 06:42:00,1
2019-10-08 17:10:00,2
2019-10-08 17:11:00,1
2019-10-10 12:21:00,1
2019-10-29 15:57:00,1
2019-11-02 00:35:00,1
2019-11-12 10:36:00,1
2019-11-12 15:19:00,1
2019-11-13 00:51:00,1
2019-12-17 03:09:00,1
2019-12-17 06:43:00,1
2019-12-18 14:04:00,1
2019-12-18 16:24:00,1
2019-12-20 11:53:00,1
2019-12-20 15:11:00,1
2019-12-20 15:23:00,1
