5,"select * --from specObj -- where dec > # and dec < # and ra > # and ra < # --select dbo.fIAUFromEq (#, #) select top # * from SpecPhotoAll where dec > # --where SpecPhotoAll.specObjID = specobjAll.specObjID --and -- Specobjall.subClass = # and Specobjall.snMedian > # and Specobjall.wavemin < # and wavemax > #"
2019-12-27 09:44:00,1
2019-12-27 09:45:00,2
2019-12-27 09:46:00,2
