2,"SELECT TOP # p.psfMag_u, p.psfMag_g , p.psfMag_r, p.psfMag_i, p.psfMag_z, FROM PhotoObjAll AS WHERE p.mode = # AND s.sciencePrimary = # AND p.objid = #"
2019-06-30 04:55:00,1
2019-06-30 04:57:00,1
