21,"SELECT top # p.objid, p.run, p.rerun, p.camcol, p.field, p.obj, p.type, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.Err_u, p.Err_g, p.Err_r, p.Err_i, p.Err_z FROM fGetNearbyObjEq (#, #, #) n, PhotoPrimary p WHERE n.objID = p.objID AND p.u BETWEEN # AND # AND p.g BETWEEN # AND # AND p.r BETWEEN # AND # AND p.i BETWEEN # AND # AND p.z BETWEEN # AND #"
2019-03-03 09:07:00,1
2019-03-03 09:19:00,1
2019-03-03 09:29:00,1
2019-03-03 10:49:00,1
2019-03-03 11:12:00,1
2019-03-03 11:53:00,1
2019-03-03 12:22:00,1
2019-04-18 17:25:00,1
2019-04-18 17:28:00,1
2019-04-25 14:27:00,3
2019-04-25 14:30:00,1
2019-04-25 14:31:00,2
2019-04-30 23:39:00,1
2019-05-09 22:36:00,2
2019-10-24 01:57:00,1
2019-11-07 22:17:00,1
2019-11-07 22:19:00,1
