369,"SELECT DISTINCT p.objID, p.run, p.rerun, s.ra, s.dec, s.specObjID, s.sciencePrimary, s.run2d, s.instrument, s.plate, s.fiberID, s.mjd FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE ( (p.ra between # and #) and (p.dec between # and #) )"
2019-11-25 16:46:00,10
2019-11-25 17:31:00,12
2019-11-25 17:32:00,44
2019-11-25 17:33:00,35
2019-11-25 17:34:00,31
2019-11-25 17:35:00,37
2019-11-25 17:36:00,29
2019-11-25 17:37:00,22
2019-11-25 17:38:00,18
2019-11-26 10:44:00,23
2019-11-26 10:45:00,9
2019-12-02 09:54:00,2
2019-12-02 15:45:00,2
2019-12-02 15:49:00,2
2019-12-02 15:50:00,2
2019-12-02 15:51:00,4
2019-12-02 15:52:00,2
2019-12-02 15:54:00,13
2019-12-02 16:36:00,14
2019-12-02 17:57:00,12
2019-12-02 17:58:00,45
2019-12-02 18:36:00,1
