29,"select c.name as class, count (s.z) as num_redshift from specObj s, specClass c where s.specClass = c.value AND z BETWEEN # and # group by c.name"
2019-03-07 14:50:00,1
2019-03-21 22:12:00,1
2019-03-23 23:27:00,1
2019-03-26 10:40:00,1
2019-04-04 01:43:00,1
2019-04-04 23:34:00,1
2019-04-28 03:08:00,1
2019-05-02 17:40:00,1
2019-06-10 17:21:00,3
2019-06-12 17:31:00,1
2019-06-12 17:32:00,2
2019-06-14 15:11:00,1
2019-06-20 05:07:00,1
2019-06-20 11:19:00,1
2019-06-20 11:20:00,1
2019-06-20 14:06:00,1
2019-06-20 14:07:00,1
2019-06-20 14:11:00,2
2019-06-28 22:06:00,1
2019-07-03 18:48:00,1
2019-09-13 17:12:00,1
2019-09-19 19:24:00,1
2019-10-15 06:23:00,1
2019-10-28 14:42:00,1
2019-11-26 02:18:00,1
