85,"select top # p.objid, p.ra, p.dec from photoobj p, dbo.fgetNearByObjEq (#, #, #) n where p.objid = n.objid"
2019-01-18 23:15:00,2
2019-01-25 15:42:00,1
2019-01-25 15:43:00,1
2019-01-28 14:51:00,1
2019-02-01 04:09:00,1
2019-02-14 10:35:00,1
2019-02-14 10:39:00,1
2019-02-14 10:40:00,3
2019-02-25 18:03:00,2
2019-03-06 18:41:00,1
2019-03-06 22:46:00,2
2019-03-25 02:52:00,1
2019-03-26 10:22:00,1
2019-03-26 10:23:00,2
2019-04-05 18:18:00,1
2019-05-30 13:11:00,1
2019-05-30 13:12:00,1
2019-05-30 13:13:00,1
2019-06-21 09:28:00,1
2019-06-25 01:20:00,3
2019-07-04 11:35:00,1
2019-07-30 12:10:00,1
2019-08-01 01:45:00,1
2019-08-01 03:36:00,1
2019-08-01 03:37:00,1
2019-08-06 19:23:00,2
2019-08-13 17:46:00,1
2019-08-13 17:47:00,3
2019-08-13 17:48:00,1
2019-08-13 18:01:00,2
2019-08-29 10:33:00,1
2019-08-29 10:46:00,1
2019-08-29 10:47:00,1
2019-08-29 23:41:00,1
2019-10-08 05:52:00,1
2019-10-10 13:49:00,1
2019-10-10 16:31:00,1
2019-10-14 21:10:00,1
2019-10-17 20:10:00,1
2019-10-17 20:30:00,1
2019-10-17 21:43:00,1
2019-10-17 21:51:00,1
2019-10-17 21:58:00,1
2019-10-17 22:01:00,1
2019-10-18 03:16:00,2
2019-10-18 03:23:00,1
2019-10-24 08:36:00,1
2019-10-24 09:14:00,1
2019-10-24 09:15:00,1
2019-10-24 14:34:00,1
2019-10-28 20:56:00,1
2019-10-28 20:58:00,1
2019-10-28 21:02:00,1
2019-10-31 22:09:00,1
2019-10-31 22:17:00,1
2019-11-01 01:27:00,1
2019-11-07 00:18:00,1
2019-11-07 00:19:00,1
2019-11-08 19:53:00,1
2019-11-08 20:13:00,1
2019-11-08 20:18:00,1
2019-11-08 23:11:00,1
2019-11-14 22:42:00,1
2019-11-14 22:43:00,1
2019-11-14 23:31:00,1
2019-11-19 21:46:00,1
2019-11-19 21:47:00,1
2019-11-19 23:05:00,1
2019-11-20 00:11:00,1
2019-12-08 07:21:00,1
2019-12-08 07:28:00,1
2019-12-10 06:19:00,1
