1024,"select p.absmagU, p.absmagG, p.absmagR from PhotoZ as p JOIN Galaxy as G on G.objId = p.objId where g.clean = # AND p.objId = #"
2019-04-17 16:47:00,1
2019-04-17 16:49:00,1
2019-04-17 16:50:00,79
2019-04-17 16:51:00,146
2019-04-17 16:52:00,144
2019-04-17 16:53:00,128
2019-04-17 16:54:00,138
2019-04-17 16:55:00,143
2019-04-17 16:56:00,148
2019-04-17 16:57:00,81
2019-04-17 17:21:00,1
2019-04-17 17:22:00,7
2019-04-17 17:23:00,5
2019-04-17 17:24:00,2
