2,"SELECT g.u, g.g, g.r, g.i, g.z, g.ra, g.dec, g.flags_r, g.specobjid, s.lgm_tot_p5#, s.lgm_fib_p5# FROM Galaxy as g JOIN galSpecExtra as s ON g.specobjID = s.specobjID WHERE g.ra BETWEEN # and # AND g.dec BETWEEN # and # AND ( (g.flags_r & #) ! = #) AND ( (g.flags_r & #) = #) AND ( ((g.flags_r & #) = #) or (psfmagerr_r < = #) ) AND ( ((g.flags_r & #) = #) or (g.flags_r & #) = #)"
2019-06-16 16:23:00,1
2019-06-16 16:28:00,1
