3,"SELECT top # p.ra, p.dec, s.z, p.ObjID FROM photoObj p JOIN specObj s ON s.bestObjID = p.objID WHERE p.ra between # and # and p.dec between # and # and s.z between # and #"
2019-11-07 14:36:00,1
2019-11-07 14:37:00,2
