47,"SELECT S.objID, S.ra, S.dec, S.u, S.g, S.r, S.i, S.z, S.err_u, S.err_g, S.err_r, S.err_i, S.err_z FROM Star as S JOIN dbo.fGetNearbyObjEq (#, #E-#, #) as SN on S.objID = SN.objID WHERE ( (S.flags_r & #) ! = #) AND ( (S.flags_r & #) = #) AND ( ((S.flags_r & #) = #) or (S.psfmagerr_r < = #) ) AND ( ((S.flags_r & #) = #) or (S.flags_r & #) = #) AND ( (S.flags_g & #) ! = #) AND ( (S.flags_g & #) = #) AND ( ((S.flags_g & #) = #) or (S.psfmagerr_g < = #) ) AND ( ((S.flags_g & #) = #) or (S.flags_g & #) = #) AND ( (S.flags_i & #) ! = #) AND ( (S.flags_i & #) = #) AND ( ((S.flags_i & #) = #) or (S.psfmagerr_i < = #) ) AND ( ((S.flags_i & #) = #) or (S.flags_i & #) = #)"
2019-05-28 12:40:00,2
2019-05-28 12:45:00,2
2019-05-28 13:33:00,1
2019-05-28 13:37:00,1
2019-05-28 13:41:00,1
2019-05-28 13:46:00,1
2019-05-28 14:54:00,1
2019-05-28 14:58:00,1
2019-05-28 15:01:00,1
2019-05-28 15:06:00,1
2019-05-28 17:15:00,1
2019-05-28 17:18:00,2
2019-05-28 17:22:00,1
2019-06-16 22:15:00,1
2019-06-17 16:59:00,1
2019-06-17 17:04:00,1
2019-06-17 17:05:00,1
2019-06-17 17:16:00,1
2019-06-17 17:33:00,1
2019-06-18 17:43:00,1
2019-06-18 17:49:00,1
2019-06-18 18:15:00,1
2019-08-03 02:08:00,1
2019-08-03 02:12:00,1
2019-08-05 17:25:00,1
2019-08-05 17:28:00,1
2019-08-06 20:25:00,1
2019-08-06 20:29:00,1
2019-08-06 20:30:00,1
2019-08-06 20:36:00,1
2019-08-06 20:40:00,1
2019-08-06 20:45:00,1
2019-08-06 21:49:00,1
2019-08-06 21:53:00,1
2019-08-12 20:27:00,1
2019-08-12 20:31:00,1
2019-08-13 16:02:00,2
2019-08-13 16:04:00,2
2019-12-23 15:27:00,2
2019-12-23 15:31:00,2
