4,"SELECT TOP # s.z FROM ..SpecObj as s JOIN dbo.fGetNearbySpecObjEq (#, #, #) AS b ON b.SpecobjID = S.SpecobjID WHERE s.zWarning = # AND (s.class = #)"
2019-11-24 12:24:00,1
2019-11-24 12:28:00,3
