9,"select top # ra, dec, z, (# - #*log1# (spectroFlux_g) ) from specobj where (ra between # and #) and (dec between # and #) and subclass = # and spectroFlux_g > #"
2019-08-15 20:41:00,1
2019-08-21 22:39:00,1
2019-08-21 22:40:00,3
2019-08-21 22:41:00,2
2019-08-29 21:07:00,1
2019-08-29 21:08:00,1
