12,select fieldid from field where devmodelapcorrection_i between -.# and .# and psfb_u between # and #
2019-01-25 08:41:00,2
2019-01-25 08:43:00,2
2019-01-25 08:50:00,2
2019-01-25 08:51:00,1
2019-01-25 12:21:00,1
2019-02-26 11:51:00,2
2019-02-26 13:05:00,2
