59,"SELECT U.up_id, S.* FROM #upLoad U CROSS APPLY (SELECT Objid FROM dbo.fGetNearbyObjEq (U.up_ra , U.up_dec , U.up_sep) ) S SELECT TOP # p.ra, p.dec, p.run, p.rerun, p.camCol, p.field, p.obj FROM ..PhotoObj AS p JOIN #x AS x ON x.objID = p.objID JOIN #upload AS u ON u.up_id = x.up_id WHERE (p.type = # OR p.type = #) ORDER BY x.up_id"
2019-02-05 10:39:00,2
2019-02-23 07:47:00,1
2019-03-01 16:47:00,3
2019-03-01 16:48:00,2
2019-03-01 17:10:00,1
2019-03-01 17:11:00,1
2019-03-01 17:12:00,1
2019-03-01 17:13:00,1
2019-03-01 17:14:00,1
2019-03-13 00:50:00,1
2019-03-13 00:51:00,2
2019-03-13 00:55:00,2
2019-03-18 09:20:00,1
2019-03-18 09:33:00,1
2019-03-18 09:35:00,1
2019-03-18 09:36:00,2
2019-03-26 13:58:00,1
2019-04-10 05:57:00,1
2019-04-18 10:51:00,2
2019-04-18 10:52:00,1
2019-04-26 08:30:00,1
2019-05-06 10:53:00,1
2019-06-06 22:20:00,1
2019-08-16 18:52:00,1
2019-08-21 06:46:00,1
2019-08-21 06:47:00,1
2019-09-19 08:17:00,1
2019-09-24 01:00:00,3
2019-09-25 13:11:00,1
2019-09-25 13:12:00,3
2019-09-25 13:13:00,1
2019-10-13 19:15:00,1
2019-10-13 19:16:00,1
2019-10-26 10:42:00,1
2019-10-26 10:43:00,2
2019-11-21 13:52:00,1
2019-11-21 13:54:00,1
2019-11-21 13:56:00,1
2019-11-21 14:11:00,1
2019-11-21 14:15:00,1
2019-11-21 14:16:00,2
2019-11-21 14:17:00,1
2019-11-21 14:18:00,2
2019-11-21 14:20:00,1
