2,"SELECT sp.ra, sp.dec, FROM specPhoto AS sp WHERE sp.ra > # AND sp.ra < # AND sp.dec > # AND sp.dec < #"
2019-12-07 02:07:00,1
2019-12-07 02:08:00,1
