87,select top # * from [test]
2019-01-03 14:23:00,1
2019-01-03 15:25:00,1
2019-01-10 04:58:00,1
2019-01-11 01:54:00,1
2019-01-11 01:59:00,1
2019-01-11 02:01:00,1
2019-01-11 02:14:00,1
2019-01-11 02:16:00,1
2019-01-18 08:09:00,1
2019-02-19 17:44:00,1
2019-02-21 15:01:00,1
2019-02-21 15:04:00,1
2019-02-21 15:07:00,1
2019-02-21 15:21:00,1
2019-02-22 13:46:00,1
2019-02-25 15:18:00,1
2019-02-25 15:26:00,1
2019-02-25 15:36:00,1
2019-03-06 02:12:00,1
2019-03-06 04:31:00,1
2019-03-11 05:06:00,1
2019-03-15 06:18:00,1
2019-03-15 06:28:00,1
2019-04-05 16:42:00,1
2019-04-05 16:44:00,1
2019-05-05 03:12:00,2
2019-05-05 03:13:00,1
2019-05-09 11:29:00,1
2019-05-09 11:42:00,1
2019-05-12 02:16:00,1
2019-05-12 02:18:00,1
2019-05-12 02:20:00,1
2019-05-12 02:24:00,1
2019-05-12 02:27:00,1
2019-05-12 02:34:00,1
2019-05-12 02:54:00,1
2019-05-12 02:59:00,1
2019-05-12 05:07:00,1
2019-05-12 05:08:00,1
2019-05-12 05:13:00,1
2019-05-12 05:21:00,1
2019-05-15 09:19:00,1
2019-05-15 10:14:00,1
2019-06-06 04:51:00,1
2019-06-11 05:34:00,1
2019-06-17 15:55:00,1
2019-07-03 08:25:00,1
2019-07-08 09:19:00,2
2019-07-08 10:01:00,1
2019-07-08 10:03:00,1
2019-08-12 04:47:00,1
2019-08-23 01:49:00,1
2019-08-23 04:26:00,1
2019-09-05 06:08:00,1
2019-09-05 06:30:00,1
2019-09-10 02:04:00,1
2019-09-10 12:22:00,1
2019-09-11 02:46:00,1
2019-09-11 03:20:00,1
2019-10-02 05:36:00,1
2019-10-20 13:45:00,1
2019-10-31 15:05:00,1
2019-11-01 03:53:00,1
2019-11-06 04:29:00,9
2019-11-06 04:31:00,1
2019-12-09 13:46:00,1
2019-12-10 07:24:00,1
2019-12-10 07:27:00,1
2019-12-10 07:29:00,1
2019-12-10 07:30:00,1
2019-12-10 07:43:00,1
2019-12-19 06:13:00,1
2019-12-19 06:17:00,1
2019-12-19 06:25:00,1
2019-12-19 06:27:00,1
2019-12-19 06:38:00,1
2019-12-24 01:45:00,1
