3,"SELECT TOP # m.name as trgtName, m.ra AS trgtRA, m.dec AS trgtDEC, n.distance as skyDistArcmin, o.ra AS srcRA, o.dec AS srcDEC, z.z AS photZ, z.zErr as photZerr, o.objid AS objID FROM MyDB.sourceList AS m CROSS APPLY dbo.fGetNearbyObjAllEq (m.ra, m.dec, #) AS n JOIN PhotoObj AS o ON n.objid = o.objid JOIN PhotoZ AS z ON n.objid = o.objid"
2019-07-19 15:19:00,2
2019-07-19 15:20:00,1
