4,"SELECT s.z, s.zErr, s.survey, s.run1d, s.targetType, s.velDisp g.*, e.bpt FROM SpecObj AS s JOIN galSpecLine AS g ON s.specObjID = g.specObjID LEFT JOIN emissionLinesPort AS e ON g.specObjID = e.specObjID WHERE htmid*# & # < (# * #) AND s.class = # AND s.snMedian > #"
2019-05-16 12:19:00,3
2019-05-16 12:20:00,1
