525,"SELECT ra, dec, type, modelMag_u, modelMag_g, modelMag_r, modelMag_i, modelMag_z, modelMagErr_u, modelMagErr_g, modelMagErr_r, modelMagErr_i, modelMagErr_z, psfMag_i, type_i, psfMagErr_i FROM PhotoPrimary WHERE (ra between # and #) and (dec between # and #)"
2019-01-03 16:04:00,1
2019-01-04 15:35:00,1
2019-01-04 19:08:00,1
2019-02-01 07:25:00,1
2019-02-09 16:23:00,1
2019-02-20 18:43:00,1
2019-02-20 18:55:00,1
2019-02-25 21:51:00,1
2019-02-25 22:24:00,1
2019-02-25 22:38:00,1
2019-03-05 16:51:00,1
2019-03-05 17:00:00,1
2019-03-05 17:09:00,1
2019-03-14 16:49:00,1
2019-03-14 16:55:00,1
2019-03-14 17:33:00,1
2019-03-15 15:39:00,1
2019-03-15 16:11:00,1
2019-03-15 16:26:00,1
2019-03-16 07:03:00,1
2019-03-16 16:45:00,1
2019-03-18 15:15:00,1
2019-03-18 15:38:00,1
2019-03-25 16:02:00,1
2019-03-25 16:11:00,1
2019-03-27 15:33:00,1
2019-03-30 15:42:00,1
2019-03-31 15:56:00,1
2019-03-31 16:22:00,1
2019-04-01 15:19:00,1
2019-04-02 16:24:00,1
2019-04-02 16:53:00,1
2019-04-04 14:23:00,1
2019-04-07 14:42:00,1
2019-04-07 15:04:00,1
2019-04-08 17:26:00,1
2019-04-09 15:27:00,1
2019-04-10 14:49:00,1
2019-04-11 15:24:00,1
2019-04-11 23:00:00,1
2019-04-12 14:12:00,1
2019-04-17 03:54:00,1
2019-04-17 04:09:00,1
2019-04-17 04:47:00,1
2019-04-17 04:54:00,1
2019-04-17 05:09:00,1
2019-04-18 14:33:00,1
2019-04-19 14:43:00,1
2019-04-20 14:02:00,1
2019-04-23 14:45:00,1
2019-04-24 14:11:00,1
2019-04-26 04:30:00,1
2019-04-28 14:09:00,1
2019-04-28 14:51:00,1
2019-04-29 13:55:00,1
2019-05-02 13:56:00,1
2019-05-03 14:04:00,1
2019-05-09 15:48:00,1
2019-05-09 16:25:00,1
2019-05-13 15:00:00,1
2019-05-16 14:35:00,1
2019-05-16 23:31:00,1
2019-05-25 13:57:00,1
2019-05-25 14:07:00,1
2019-05-29 14:22:00,1
2019-05-30 14:25:00,1
2019-05-30 14:43:00,1
2019-05-30 15:00:00,1
2019-05-30 15:15:00,1
2019-05-31 14:49:00,1
2019-05-31 15:05:00,1
2019-05-31 15:15:00,1
2019-05-31 15:28:00,1
2019-05-31 15:49:00,1
2019-05-31 16:06:00,1
2019-05-31 16:23:00,1
2019-06-01 14:47:00,1
2019-06-03 14:11:00,1
2019-06-03 14:20:00,1
2019-06-06 15:52:00,1
2019-06-07 14:58:00,1
2019-06-08 14:57:00,1
2019-06-09 14:27:00,1
2019-06-09 15:05:00,1
2019-06-10 14:22:00,1
2019-06-10 14:33:00,1
2019-06-10 14:45:00,1
2019-06-10 15:00:00,1
2019-06-11 15:08:00,1
2019-06-12 14:15:00,1
2019-06-12 14:26:00,1
2019-06-13 14:03:00,1
2019-06-14 14:01:00,1
2019-06-14 15:59:00,1
2019-06-15 14:52:00,1
2019-06-15 15:11:00,1
