106,SELECT * FROM S8#PhotoObj_#B
2019-06-22 14:09:00,1
2019-06-22 14:13:00,1
2019-06-22 14:20:00,1
2019-06-22 14:23:00,1
2019-06-22 14:26:00,1
2019-06-22 14:29:00,1
2019-06-22 14:31:00,1
2019-06-22 14:33:00,1
2019-06-22 14:36:00,1
2019-06-22 14:38:00,1
2019-06-22 14:40:00,1
2019-06-23 11:03:00,1
2019-06-23 11:09:00,1
2019-06-23 11:11:00,1
2019-06-23 11:14:00,1
2019-06-23 11:18:00,1
2019-06-23 11:20:00,1
2019-06-23 11:23:00,1
2019-06-23 11:27:00,1
2019-06-23 11:31:00,1
2019-06-23 11:35:00,1
2019-06-23 11:38:00,1
2019-06-23 11:42:00,1
2019-06-23 11:45:00,1
2019-06-23 11:48:00,1
2019-06-23 11:51:00,1
2019-06-23 11:56:00,1
2019-06-23 12:00:00,1
2019-06-23 12:05:00,1
2019-06-23 12:08:00,1
2019-06-23 12:13:00,1
2019-06-23 12:17:00,1
2019-06-23 12:22:00,1
2019-06-23 12:25:00,1
2019-06-23 12:28:00,1
2019-06-23 12:31:00,1
2019-06-23 12:36:00,1
2019-06-23 12:38:00,1
2019-06-23 12:42:00,1
2019-06-23 12:46:00,1
2019-06-23 12:49:00,1
2019-06-23 12:53:00,1
2019-06-23 12:55:00,1
2019-06-23 12:59:00,1
2019-06-23 13:03:00,1
2019-06-23 13:06:00,1
2019-06-28 05:04:00,1
2019-06-28 05:10:00,1
2019-06-28 05:18:00,1
2019-06-28 05:21:00,1
2019-06-28 05:24:00,1
2019-06-28 05:28:00,1
2019-06-28 05:31:00,1
2019-06-28 05:36:00,1
2019-06-28 05:44:00,1
2019-06-28 05:49:00,1
2019-06-28 05:53:00,1
2019-06-28 05:58:00,1
2019-06-28 06:02:00,1
2019-06-28 06:06:00,1
2019-06-28 06:11:00,1
2019-06-28 06:20:00,1
2019-06-28 06:26:00,1
2019-06-28 06:39:00,1
2019-06-28 06:49:00,1
2019-06-28 06:58:00,1
2019-06-28 07:04:00,1
2019-06-28 07:08:00,1
2019-06-28 07:14:00,1
2019-07-08 08:08:00,1
2019-07-08 08:13:00,1
2019-07-08 08:25:00,1
2019-07-08 08:40:00,1
2019-07-08 09:02:00,1
2019-07-08 09:16:00,1
2019-07-08 09:38:00,1
2019-07-08 09:42:00,1
2019-07-08 09:48:00,1
2019-07-08 09:52:00,1
2019-07-08 09:58:00,1
2019-07-08 10:08:00,1
2019-07-08 10:14:00,1
2019-07-08 10:20:00,1
2019-07-08 10:30:00,1
2019-07-08 10:34:00,1
2019-07-08 10:37:00,1
2019-07-08 10:45:00,1
2019-07-08 10:49:00,1
2019-07-08 10:55:00,1
2019-07-08 10:58:00,1
2019-07-08 11:01:00,1
2019-07-08 11:05:00,1
2019-07-08 11:10:00,1
2019-07-08 11:15:00,1
2019-07-08 11:19:00,1
2019-07-08 11:22:00,1
2019-07-08 11:27:00,1
2019-07-08 11:30:00,1
2019-07-08 11:34:00,1
2019-07-08 11:38:00,1
2019-07-08 11:41:00,1
2019-07-08 11:47:00,1
2019-07-08 11:50:00,1
2019-07-08 11:53:00,1
2019-07-08 11:58:00,1
2019-07-08 12:01:00,1
