2,"SELECT TOP # p.petroRad_r, p.petroRadErr_r, p.score as score into mydb.MyTable_# from BESTDR8..Galaxy AS p JOIN dbo.fGetNearbyObjEq (#, #, #) AS b ON b.objID = P.objID WHERE p.petroMag_r > #"
2019-03-22 15:07:00,1
2019-03-22 15:08:00,1
