2,"SELECT TOP # p.objid, p.ra, p.dec, s.specobjid, s.class, s.z as redshift, s.z_noqso as fancy_redshift FROM PhotoObjall AS p JOIN SpecObjall AS s ON s.bestobjid = p.objid"
2019-10-16 09:24:00,1
2019-10-16 09:26:00,1
