1045,"SELECT p.objId, p.ra, p.dec, p.petror9#_r, p.expAB_r, p.dered_u as u, p.dered_g as g, p.dered_r as r, p.dered_i as i, s.z, s.plate, s.mjd, s.fiberid FROM galaxy AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.petror9#_r > # and p.ra between # and # and s.z between # and # and p.g < #"
2019-07-15 10:37:00,1
2019-07-15 10:38:00,1
2019-07-15 10:39:00,1
2019-07-15 10:40:00,1
2019-07-15 10:42:00,1
2019-07-15 11:33:00,1
2019-07-15 11:40:00,1
2019-07-15 11:42:00,1
2019-07-15 12:20:00,1
2019-07-15 12:35:00,1
2019-07-15 12:46:00,1
2019-07-16 10:12:00,1
2019-07-16 10:13:00,1
2019-07-16 10:18:00,1
2019-07-16 10:21:00,1
2019-07-16 10:22:00,1
2019-07-16 10:44:00,1
2019-07-16 11:00:00,1
2019-07-16 11:11:00,1
2019-07-16 11:12:00,5
2019-07-16 11:16:00,2
2019-07-16 11:18:00,6
2019-07-16 11:38:00,1
2019-09-09 09:29:00,1
2019-09-13 04:49:00,1
2019-09-13 04:50:00,1
2019-09-18 09:47:00,1
2019-09-18 09:49:00,1
2019-09-18 09:52:00,1
2019-09-18 11:01:00,1
2019-09-27 13:55:00,1
2019-09-27 13:56:00,1
2019-09-30 04:10:00,1
2019-09-30 04:11:00,1
2019-09-30 09:30:00,1
2019-09-30 12:45:00,1
2019-09-30 12:46:00,1
2019-09-30 15:56:00,1
2019-10-01 05:41:00,1
2019-10-01 05:44:00,1
2019-10-01 06:33:00,1
2019-10-01 07:05:00,2
2019-10-01 07:12:00,1
2019-10-01 07:24:00,1
2019-10-01 07:36:00,1
2019-10-01 07:38:00,1
2019-10-01 07:55:00,1
2019-10-01 09:20:00,1
2019-10-02 07:41:00,1
2019-10-03 14:42:00,1
2019-10-07 06:04:00,1
2019-10-07 06:05:00,2
2019-10-07 06:16:00,1
2019-10-10 06:41:00,1
2019-10-18 06:48:00,1
2019-10-18 06:53:00,1
2019-10-19 07:49:00,1
2019-10-21 13:32:00,1
2019-10-25 14:15:00,1
2019-10-25 14:16:00,1
2019-10-29 07:39:00,1
2019-10-29 07:43:00,1
2019-10-29 07:48:00,1
2019-10-29 07:56:00,3
2019-10-29 07:58:00,1
2019-10-29 07:59:00,3
2019-10-29 08:03:00,1
2019-10-29 08:06:00,1
2019-10-29 08:08:00,1
2019-10-29 08:14:00,1
2019-10-29 08:15:00,1
2019-10-29 08:16:00,1
2019-10-29 08:17:00,3
2019-10-29 08:19:00,1
2019-10-29 08:22:00,1
2019-10-29 08:23:00,1
2019-10-29 08:24:00,1
2019-10-29 08:26:00,1
2019-10-29 08:27:00,2
2019-10-29 08:42:00,1
2019-10-29 11:32:00,1
2019-10-29 12:53:00,1
2019-10-29 12:56:00,1
2019-10-29 13:08:00,1
2019-11-02 08:16:00,1
2019-11-02 08:24:00,1
2019-11-02 08:29:00,1
2019-11-02 08:31:00,1
2019-11-02 08:32:00,1
2019-11-02 08:33:00,1
2019-11-02 08:53:00,1
2019-11-02 08:54:00,1
2019-11-02 09:01:00,1
2019-11-02 09:02:00,2
2019-11-04 06:19:00,1
2019-11-04 06:20:00,1
2019-11-05 06:50:00,1
2019-11-05 06:53:00,1
2019-11-06 13:38:00,1
2019-11-06 17:37:00,1
2019-11-06 17:39:00,1
2019-11-07 09:36:00,2
2019-11-07 10:54:00,1
2019-11-07 11:21:00,1
2019-11-07 15:24:00,1
2019-11-08 16:26:00,1
2019-11-09 07:48:00,1
2019-11-09 07:49:00,1
2019-11-09 08:53:00,1
2019-11-09 13:29:00,1
2019-11-10 10:44:00,1
2019-11-10 10:46:00,1
2019-11-10 12:21:00,1
2019-11-10 17:00:00,1
2019-11-11 05:34:00,1
2019-11-11 09:18:00,1
2019-11-11 09:20:00,1
2019-11-11 10:04:00,1
2019-11-11 11:31:00,1
2019-11-11 11:32:00,2
2019-11-11 12:02:00,1
2019-11-11 12:18:00,1
2019-11-11 12:34:00,1
2019-11-11 12:35:00,1
2019-11-11 14:29:00,1
2019-11-11 16:24:00,1
2019-11-11 18:38:00,1
2019-11-11 18:59:00,2
2019-11-12 03:42:00,2
2019-11-12 04:40:00,1
2019-11-12 05:06:00,1
2019-11-12 05:12:00,1
2019-11-12 05:42:00,1
2019-11-12 05:56:00,1
2019-11-12 05:57:00,2
2019-11-12 06:24:00,1
2019-11-12 08:12:00,1
2019-11-12 08:24:00,1
2019-11-12 08:26:00,1
2019-11-12 08:38:00,1
2019-11-12 10:01:00,1
2019-11-12 10:03:00,1
2019-11-12 10:04:00,2
2019-11-12 10:05:00,1
2019-11-12 10:06:00,5
2019-11-12 10:07:00,1
2019-11-12 10:08:00,3
2019-11-12 10:09:00,3
2019-11-12 10:10:00,2
2019-11-12 10:12:00,1
2019-11-12 10:15:00,1
2019-11-12 10:23:00,2
2019-11-12 10:32:00,1
2019-11-12 10:38:00,1
2019-11-12 11:16:00,1
2019-11-12 11:25:00,1
2019-11-12 11:40:00,1
2019-11-12 11:57:00,1
2019-11-12 12:02:00,1
2019-11-12 12:04:00,1
2019-11-12 12:05:00,1
2019-11-12 14:34:00,1
2019-11-12 15:01:00,1
2019-11-12 15:38:00,1
2019-11-12 15:44:00,1
2019-11-12 15:51:00,1
2019-11-12 16:12:00,1
2019-11-12 16:34:00,1
2019-11-13 05:02:00,1
2019-11-13 10:05:00,1
2019-11-13 10:06:00,1
2019-11-13 10:08:00,3
2019-11-13 10:09:00,6
2019-11-13 10:11:00,1
2019-11-13 10:12:00,1
2019-11-13 10:13:00,2
2019-11-13 10:15:00,2
2019-11-13 10:16:00,1
2019-11-13 10:18:00,1
2019-11-13 10:19:00,1
2019-11-13 10:20:00,1
2019-11-13 10:22:00,1
2019-11-13 10:26:00,1
2019-11-13 10:42:00,2
2019-11-13 10:44:00,1
2019-11-13 11:26:00,1
2019-11-13 11:39:00,1
2019-11-13 12:12:00,1
2019-11-13 12:13:00,1
2019-11-13 12:28:00,1
2019-11-13 12:29:00,1
2019-11-13 12:34:00,1
2019-11-13 17:09:00,1
2019-11-13 17:20:00,1
2019-11-13 17:46:00,1
2019-11-14 08:12:00,1
2019-11-14 08:13:00,1
2019-11-14 08:20:00,1
2019-11-14 09:08:00,1
2019-11-14 10:57:00,1
2019-11-14 10:59:00,1
2019-11-14 13:43:00,1
2019-11-14 13:45:00,1
2019-11-14 14:40:00,1
2019-11-14 15:50:00,1
2019-11-15 04:02:00,1
2019-11-15 04:58:00,1
2019-11-15 05:01:00,1
2019-11-15 05:21:00,1
2019-11-15 08:38:00,1
2019-11-15 08:44:00,1
2019-11-15 09:15:00,1
2019-11-15 09:27:00,1
2019-11-15 09:54:00,1
2019-11-15 10:03:00,1
2019-11-15 10:04:00,1
2019-11-15 10:05:00,3
2019-11-15 10:07:00,3
2019-11-15 10:08:00,1
2019-11-15 10:09:00,1
2019-11-15 10:10:00,1
2019-11-15 10:11:00,1
2019-11-15 10:12:00,1
2019-11-15 10:15:00,2
2019-11-15 10:19:00,4
2019-11-15 10:23:00,1
2019-11-15 10:32:00,1
2019-11-15 11:04:00,1
2019-11-15 11:15:00,2
2019-11-15 11:31:00,1
2019-11-15 11:52:00,1
2019-11-15 12:08:00,1
2019-11-15 12:09:00,2
2019-11-15 12:12:00,1
2019-11-15 12:22:00,1
2019-11-15 16:00:00,1
2019-11-16 08:37:00,2
2019-11-16 08:38:00,1
2019-11-16 12:26:00,1
2019-11-17 06:35:00,1
2019-11-17 06:36:00,1
2019-11-17 06:44:00,1
2019-11-17 07:27:00,1
2019-11-17 11:01:00,1
2019-11-17 11:18:00,1
2019-11-17 12:50:00,2
2019-11-17 14:09:00,1
2019-11-18 05:22:00,1
2019-11-18 05:25:00,1
2019-11-18 05:26:00,1
2019-11-18 05:38:00,1
2019-11-18 05:43:00,1
2019-11-18 05:51:00,1
2019-11-18 06:18:00,1
2019-11-18 06:28:00,1
2019-11-18 06:30:00,1
2019-11-18 06:32:00,1
2019-11-18 06:34:00,1
2019-11-18 06:36:00,1
2019-11-18 06:49:00,1
2019-11-18 08:37:00,1
2019-11-18 08:40:00,1
2019-11-18 08:43:00,1
2019-11-18 10:05:00,2
2019-11-18 10:07:00,5
2019-11-18 10:12:00,3
2019-11-18 10:13:00,1
2019-11-18 10:16:00,7
2019-11-18 10:17:00,1
2019-11-18 10:20:00,1
2019-11-18 10:22:00,1
2019-11-18 11:26:00,1
2019-11-18 11:29:00,1
2019-11-18 11:36:00,1
2019-11-18 11:39:00,1
2019-11-18 11:43:00,1
2019-11-18 11:50:00,1
2019-11-18 11:54:00,2
2019-11-18 11:59:00,1
2019-11-18 12:00:00,1
2019-11-18 12:15:00,2
2019-11-18 12:23:00,1
2019-11-18 12:27:00,1
2019-11-18 12:30:00,1
2019-11-18 12:32:00,1
2019-11-18 16:57:00,1
2019-11-18 16:58:00,1
2019-11-19 05:52:00,1
2019-11-19 06:00:00,1
2019-11-19 06:05:00,1
2019-11-19 06:11:00,2
2019-11-19 06:17:00,2
2019-11-19 06:18:00,1
2019-11-19 06:22:00,1
2019-11-19 06:29:00,1
2019-11-19 06:35:00,1
2019-11-19 06:43:00,1
2019-11-19 06:46:00,2
2019-11-19 06:48:00,1
2019-11-19 06:49:00,1
2019-11-19 06:55:00,1
2019-11-19 06:56:00,1
2019-11-19 06:59:00,1
2019-11-19 07:04:00,1
2019-11-19 07:06:00,2
2019-11-19 07:07:00,5
2019-11-19 07:08:00,3
2019-11-19 07:10:00,1
2019-11-19 07:11:00,1
2019-11-19 07:13:00,1
2019-11-19 07:14:00,1
2019-11-19 07:15:00,1
2019-11-19 07:16:00,3
2019-11-19 07:21:00,1
2019-11-19 07:23:00,1
2019-11-19 07:29:00,1
2019-11-19 07:31:00,1
2019-11-19 07:32:00,1
2019-11-19 07:36:00,1
2019-11-19 07:39:00,1
2019-11-19 07:40:00,1
2019-11-19 07:41:00,1
2019-11-19 07:44:00,1
2019-11-19 07:52:00,1
2019-11-19 08:01:00,1
2019-11-19 08:04:00,2
2019-11-19 12:04:00,1
2019-11-19 12:12:00,1
2019-11-19 12:25:00,1
2019-11-19 12:27:00,1
2019-11-19 12:55:00,1
2019-11-19 14:11:00,1
2019-11-19 14:37:00,1
2019-11-19 15:14:00,1
2019-11-20 06:21:00,1
2019-11-20 14:07:00,1
2019-11-20 14:08:00,1
2019-11-20 14:16:00,1
2019-11-20 14:28:00,1
2019-11-20 14:40:00,1
2019-11-20 14:42:00,1
2019-11-21 03:56:00,1
2019-11-21 03:57:00,1
2019-11-21 04:00:00,1
2019-11-21 06:04:00,1
2019-11-21 06:44:00,1
2019-11-21 06:48:00,2
2019-11-21 07:18:00,1
2019-11-21 07:56:00,1
2019-11-21 08:09:00,1
2019-11-21 08:25:00,2
2019-11-21 08:28:00,1
2019-11-21 08:30:00,2
2019-11-21 08:31:00,3
2019-11-21 09:24:00,1
2019-11-21 09:43:00,5
2019-11-21 10:00:00,1
2019-11-21 10:01:00,1
2019-11-21 10:05:00,2
2019-11-21 10:06:00,2
2019-11-21 10:07:00,1
2019-11-21 10:08:00,2
2019-11-21 10:09:00,1
2019-11-21 10:11:00,1
2019-11-21 10:16:00,1
2019-11-21 10:18:00,1
2019-11-21 10:19:00,1
2019-11-21 10:23:00,1
2019-11-21 10:25:00,1
2019-11-21 10:26:00,2
2019-11-21 10:27:00,2
2019-11-21 10:28:00,1
2019-11-21 10:30:00,1
2019-11-21 10:32:00,2
2019-11-21 10:34:00,1
2019-11-21 10:37:00,2
2019-11-21 10:41:00,1
2019-11-21 10:43:00,2
2019-11-21 10:44:00,1
2019-11-21 10:45:00,1
2019-11-21 10:47:00,1
2019-11-21 10:48:00,1
2019-11-21 10:49:00,1
2019-11-21 10:53:00,1
2019-11-21 10:55:00,1
2019-11-21 11:06:00,2
2019-11-21 11:09:00,1
2019-11-21 11:10:00,3
2019-11-21 11:12:00,2
2019-11-21 11:14:00,1
2019-11-21 11:18:00,2
2019-11-21 11:19:00,2
2019-11-21 11:24:00,1
2019-11-21 11:39:00,2
2019-11-21 11:43:00,1
2019-11-21 11:46:00,1
2019-11-21 11:51:00,1
2019-11-21 11:56:00,1
2019-11-21 11:57:00,1
2019-11-21 11:58:00,1
2019-11-21 12:01:00,1
2019-11-21 12:05:00,1
2019-11-21 12:07:00,2
