3,"SELECT TOP # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z FROM PhotoObj AS p WHERE p.u BETWEEN # AND # AND g BETWEEN # AND # AND p.type = = #"
2019-06-08 20:20:00,2
2019-06-08 20:21:00,1
