47,"select top # objid, ra, dec, u, g, r, i, z from PhotoObj where u between # and # and g between # and #"
2019-01-13 20:21:00,1
2019-01-14 07:49:00,1
2019-01-14 16:36:00,1
2019-01-14 16:37:00,2
2019-01-14 16:38:00,1
2019-01-14 19:51:00,1
2019-01-16 05:52:00,1
2019-01-28 18:03:00,1
2019-02-19 16:00:00,1
2019-02-19 16:12:00,1
2019-02-19 16:14:00,2
2019-02-21 15:00:00,1
2019-02-21 15:05:00,2
2019-02-21 15:06:00,1
2019-02-21 15:11:00,1
2019-02-25 19:31:00,2
2019-03-05 23:25:00,1
2019-03-31 12:12:00,1
2019-04-24 00:39:00,1
2019-04-25 16:15:00,1
2019-04-25 16:29:00,1
2019-04-25 16:30:00,1
2019-04-25 16:35:00,1
2019-04-25 16:39:00,1
2019-06-25 00:41:00,1
2019-06-25 00:42:00,1
2019-06-25 00:56:00,3
2019-06-25 01:53:00,1
2019-06-25 02:07:00,1
2019-06-25 02:08:00,1
2019-06-25 02:09:00,1
2019-10-21 19:57:00,1
2019-11-06 16:47:00,1
2019-11-08 15:50:00,1
2019-12-11 23:42:00,1
2019-12-11 23:45:00,2
2019-12-12 18:32:00,1
2019-12-16 04:15:00,1
2019-12-16 04:23:00,1
2019-12-20 20:02:00,1
