2,"SELECT ra, type, dec, dered_u into mydb.Area1utest from PhotoObjAll Where ra> # and ra< # and dec> # and dec< # And dered_u< # and dered_u> # type = =# clean = #"
2019-05-10 16:49:00,1
2019-05-10 16:51:00,1
