48,"select p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, c.z, c.zErr, str (p.u - p.g, #, #) as ugModelColor, str (p.g - p.r, #, #) as grModelColor, str (p.r - p.i, #, #) as riModelColor, str (p.i - p.z, #, #) as izModelColor from Galaxy p, dbo.fgetNearByObjEq (#, #, #) n, Photoz c where p.objid = n.objid AND c.objID = p.objID AND p.g < # AND p.r < # AND p.i < # AND p.z < # AND c.z > # AND c.z < #"
2019-02-12 19:30:00,1
2019-02-12 19:39:00,1
2019-02-15 17:46:00,1
2019-02-22 20:24:00,2
2019-02-22 20:25:00,1
2019-02-22 20:27:00,2
2019-02-22 20:28:00,1
2019-02-22 20:29:00,2
2019-02-22 20:30:00,2
2019-02-22 20:31:00,2
2019-02-22 20:34:00,3
2019-02-22 20:35:00,1
2019-02-22 20:36:00,2
2019-02-22 20:37:00,2
2019-07-04 11:29:00,1
2019-07-04 15:31:00,1
2019-07-04 17:33:00,1
2019-07-04 17:34:00,2
2019-07-04 17:36:00,1
2019-07-04 17:38:00,1
2019-07-04 17:39:00,1
2019-07-04 17:40:00,2
2019-07-04 17:41:00,1
2019-07-04 17:42:00,2
2019-07-04 17:43:00,2
2019-07-04 17:44:00,1
2019-07-04 17:45:00,1
2019-07-04 17:46:00,2
2019-07-04 17:47:00,1
2019-07-04 17:48:00,3
2019-07-04 17:49:00,1
2019-08-21 12:44:00,1
