18871,"select z, zerr, ra, dec, bestObjID from specObj where bestObjID = #"
2019-05-22 13:12:00,10
2019-05-22 13:13:00,89
2019-05-22 13:22:00,1
2019-05-22 13:23:00,1
2019-05-22 18:51:00,3
2019-05-22 18:52:00,100
2019-05-22 19:51:00,24
2019-05-22 19:52:00,295
2019-05-22 19:53:00,306
2019-05-22 19:54:00,275
2019-05-30 11:08:00,180
2019-05-30 11:09:00,315
2019-05-30 11:10:00,300
2019-05-30 11:11:00,250
2019-05-30 11:12:00,302
2019-05-30 11:13:00,308
2019-05-30 11:14:00,319
2019-05-30 11:15:00,328
2019-05-30 11:16:00,326
2019-05-30 11:17:00,305
2019-05-30 11:18:00,308
2019-05-30 11:19:00,309
2019-05-30 11:20:00,323
2019-05-30 11:21:00,324
2019-05-30 11:22:00,302
2019-05-30 11:23:00,299
2019-05-30 11:24:00,313
2019-05-30 11:25:00,319
2019-05-30 11:26:00,329
2019-05-30 11:27:00,331
2019-05-30 11:28:00,316
2019-05-30 11:29:00,320
2019-05-30 11:30:00,311
2019-05-30 11:31:00,311
2019-05-30 11:32:00,323
2019-05-30 11:33:00,330
2019-05-30 11:34:00,308
2019-05-30 11:35:00,318
2019-05-30 11:36:00,308
2019-05-30 11:37:00,317
2019-05-30 11:38:00,321
2019-05-30 11:39:00,302
2019-05-30 11:40:00,126
2019-05-30 11:54:00,171
2019-05-30 11:55:00,312
2019-05-30 11:56:00,309
2019-05-30 11:57:00,324
2019-05-30 11:58:00,323
2019-05-30 11:59:00,310
2019-05-30 12:00:00,309
2019-05-30 12:01:00,311
2019-05-30 12:02:00,323
2019-05-30 12:03:00,323
2019-05-30 12:04:00,323
2019-05-30 12:05:00,315
2019-05-30 12:06:00,307
2019-05-30 12:07:00,312
2019-05-30 12:08:00,314
2019-05-30 12:09:00,308
2019-05-30 12:10:00,313
2019-05-30 12:11:00,315
2019-05-30 12:12:00,296
2019-05-30 12:13:00,319
2019-05-30 12:14:00,323
2019-05-30 12:15:00,328
2019-05-30 12:16:00,283
2019-05-30 12:17:00,298
2019-05-30 12:18:00,293
2019-05-30 12:19:00,104
