11,"SELECT TOP # s.plate, s.mjd, s.fiberid, s.z, s.zErr, s.zWarning, s.class, p.run, p.rerun, p.camCol, p.field, p.obj FROM ..SpecObj as s JOIN ..PhotoObj AS p ON s.bestObjID = p.objID JOIN dbo.fGetNearbySpecObjEq (#, #, #) AS b ON b.SpecobjID = S.SpecobjID WHERE s.zWarning = # AND (p.type = # OR p.type = #)"
2019-01-14 18:17:00,1
2019-03-21 13:31:00,1
2019-04-01 13:13:00,1
2019-04-01 13:14:00,2
2019-04-01 13:15:00,1
2019-05-17 16:01:00,1
2019-06-27 16:06:00,1
2019-06-27 16:08:00,1
2019-10-07 11:34:00,1
2019-11-05 12:08:00,1
