4,"select p.objid, p.ra, p.dec, p.l, p.b, p.u, p.g, p.r, p.i, p.z, s.z as redshift from star p, specobj s where p.objid = s.bestobjid"
2019-10-19 14:01:00,1
2019-10-19 15:13:00,2
2019-10-19 15:39:00,1
