7,"SELECT TOP # g, r, err_g, err_r, ra, dec, flags_r FROM Galaxy WHERE ra BETWEEN # and # AND dec BETWEEN # and # AND ( (flags_r & #) ! = #) AND ( (flags_r & #) = #) AND ( ((flags_r & #) = #) or (psfmagerr_r < = #) )"
2019-10-14 22:43:00,1
2019-10-14 22:44:00,1
2019-10-14 22:45:00,1
2019-10-14 22:55:00,2
2019-10-14 22:56:00,2
