12,"SELECT TOP # cast (str (s.ra, #, #) as float) as ra, cast (str (s.[dec], #, #) as float) as dec FROM ..SpecObj as s JOIN dbo.fGetNearbySpecObjEq (#, #, #) AS b ON b.SpecobjID = S.SpecobjID WHERE s.zWarning = # AND (s.class = #)"
2019-01-01 04:47:00,1
2019-03-04 11:27:00,1
2019-03-04 11:30:00,1
2019-03-19 22:07:00,1
2019-03-19 22:22:00,1
2019-03-19 22:24:00,1
2019-03-19 22:26:00,1
2019-06-07 18:04:00,1
2019-10-06 21:26:00,1
2019-10-06 21:28:00,1
2019-10-06 21:29:00,1
2019-11-11 05:54:00,1
