80,"SELECT p.objID, p.run, p.rerun, p.camcol, p.field FROM dbo.fGetNearbyObjEq (#, #, #) as b, BESTDR9..PhotoObjAll as p WHERE b.objID = p.objID"
2019-07-15 11:32:00,1
2019-10-15 14:27:00,1
2019-10-15 15:04:00,1
2019-10-15 15:05:00,1
2019-10-15 17:43:00,2
2019-10-15 17:45:00,1
2019-10-15 18:36:00,1
2019-10-22 18:46:00,2
2019-10-22 18:51:00,1
2019-10-22 18:52:00,2
2019-10-22 18:53:00,4
2019-10-22 18:54:00,1
2019-10-22 18:55:00,2
2019-10-22 18:56:00,3
2019-10-22 18:57:00,1
2019-10-22 18:58:00,1
2019-10-22 19:00:00,1
2019-10-22 19:03:00,1
2019-10-22 19:05:00,2
2019-10-22 19:08:00,2
2019-10-22 19:09:00,2
2019-10-22 19:11:00,1
2019-10-22 19:16:00,1
2019-10-22 19:19:00,1
2019-10-22 19:21:00,1
2019-10-22 19:22:00,2
2019-10-22 19:23:00,1
2019-10-22 19:30:00,1
2019-10-22 19:31:00,3
2019-10-22 19:33:00,2
2019-10-22 19:35:00,1
2019-10-22 19:38:00,1
2019-10-22 19:39:00,1
2019-10-22 19:40:00,1
2019-10-22 19:43:00,2
2019-10-22 19:45:00,1
2019-10-22 19:46:00,2
2019-10-22 19:51:00,1
2019-10-22 19:52:00,2
2019-10-22 19:54:00,1
2019-10-22 19:55:00,1
2019-10-22 19:56:00,2
2019-10-22 19:57:00,1
2019-10-22 19:58:00,2
2019-10-22 20:00:00,2
2019-10-22 20:01:00,1
2019-10-22 20:02:00,1
2019-10-22 20:04:00,1
2019-10-22 20:08:00,1
2019-10-22 20:10:00,1
2019-12-01 19:28:00,1
2019-12-01 19:30:00,1
2019-12-18 19:25:00,1
2019-12-18 19:26:00,1
2019-12-18 19:59:00,1
2019-12-21 13:55:00,1
2019-12-25 19:34:00,1
2019-12-25 19:47:00,1
