4,"SELECT p.ra, p.dec, p.psfmag_u, p.psfmag_g, p.psfmag_r, p.psfmag_i, p.psfmag_z, f.mjd_g, n.distance*# FROM fGetNearbyObjEq (#, #, #) n, PhotoPrimary p, Field f WHERE n.objID = p.objID and f.fieldID = p.fieldID and p.type = #"
2019-12-03 11:41:00,1
2019-12-03 12:00:00,1
2019-12-03 12:28:00,2
