14,"SELECT ALL p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.type, s.class, s.z as redshift, s.class FROM PhotoObj AS p JOIN SpecObj AS s ON s.class = # WHERE p.ra BETWEEN # AND # AND p.dec BETWEEN # AND # AND p.type = #"
2019-04-19 13:55:00,1
2019-04-19 13:59:00,1
2019-04-19 15:14:00,1
2019-04-19 15:41:00,1
2019-04-20 01:27:00,1
2019-04-20 01:29:00,1
2019-04-20 01:50:00,1
2019-04-20 02:14:00,1
2019-04-20 02:33:00,1
2019-04-20 02:43:00,1
2019-04-20 02:48:00,1
2019-04-20 12:18:00,1
2019-04-20 12:53:00,1
2019-04-20 13:15:00,1
