188,"SELECT Top # p.objId, p.b, p.extinction_r, p.extinction_g, p.extinction_u, p.extinction_i, p.extinction_z FROM galaxy AS p WHERE (b between # and #)"
2019-03-07 14:48:00,2
2019-03-07 14:49:00,5
2019-03-07 14:50:00,4
2019-03-07 14:59:00,9
2019-03-07 16:39:00,9
2019-03-07 16:40:00,18
2019-03-07 16:43:00,9
2019-03-07 16:44:00,9
2019-03-07 16:50:00,18
2019-03-07 16:51:00,9
2019-03-07 16:52:00,9
2019-03-07 16:54:00,9
2019-03-07 16:56:00,9
2019-03-07 16:58:00,9
2019-03-07 16:59:00,9
2019-03-07 18:04:00,6
2019-03-07 18:09:00,6
2019-03-07 18:11:00,6
2019-04-04 13:20:00,18
2019-04-04 13:21:00,9
2019-05-09 17:20:00,6
