48,"select p.objID, p.u, p.r, p.petroMag_u, p.petroMag_r, t.K_M_K2#FE, t.K_M_FE, t.K_M_C from Galaxy as p left outer join TwoMassXSC as t on p.objID = t.objID where p.objid = # OR p.objid = # OR p.objid = # OR p.objid = # OR p.objid = # OR p.objid = # OR p.objid = # OR p.objid = # OR p.objid = # OR p.objid = # OR p.objid = # OR p.objid = # OR p.objid = # OR p.objid = # OR p.objid = # OR p.objid = # OR p.objid = # OR p.objid = # OR p.objid = # OR p.objid = # OR p.objid = # OR p.objid = # OR p.objid = # OR p.objid = # OR p.objid = # OR p.objid = # OR p.objid = # OR p.objid = # OR p.objid = # OR p.objid = # OR p.objid = # OR p.objid = # OR p.objid = # OR p.objid = # OR p.objid = #"
2019-11-22 23:21:00,2
2019-11-22 23:22:00,2
2019-11-22 23:23:00,2
2019-11-22 23:24:00,3
2019-11-22 23:25:00,3
2019-11-22 23:27:00,3
2019-11-22 23:29:00,1
2019-11-23 02:58:00,2
2019-11-23 02:59:00,2
2019-11-23 03:00:00,2
2019-11-23 03:01:00,5
2019-11-23 03:02:00,1
2019-11-23 03:04:00,3
2019-11-23 03:05:00,1
2019-12-12 21:40:00,2
2019-12-12 21:41:00,1
2019-12-12 21:42:00,2
2019-12-12 21:43:00,1
2019-12-12 21:44:00,3
2019-12-12 21:45:00,3
2019-12-12 21:47:00,1
2019-12-12 21:48:00,2
2019-12-12 21:49:00,1
